,company_name,description,href,full_complain
0,mercado-pago,"Eu entrei com uma compra na shopee, me pediram um valor a mais de 59 reais para o envio por outra transportadora. Ao receber o pix",editado-pelo-reclame-aqui-sem-extorno-do-meu-pix_YaP6KE4Y7ygaRoyL,"Eu entrei com uma compra na shopee, me pediram um valor a mais de 59 reais para o envio por outra transportadora. Ao receber o pix a pessoa cancelou me pedido, me bloqueou e nao devolveu o valor. A conta para qual foi envida o pix foi do mercado pago. Eu quero que algo seja feito em relação a isso!!"
1,mercado-pago,"O Instagram da minha amiga foi hakeado e não sabia , a pessoa se passou por ela e me pediu um dinheiro emprestado . Fiz o pix do m",cai-em-um-editado-pelo-reclame-aqui-do-pix_20NmYXnRMyHuLiVo,"O Instagram da minha amiga foi hakeado e não sabia , a pessoa se passou por ela e me pediu um dinheiro emprestado . Fiz o pix do meu picpay Para o marcado pago depois de uns minutos descobrir que tinha caído em um [Editado pelo Reclame Aqui] . Fiz o b.o entrei em contato com o picpay e preciso que vocês me estorne o dinheiro tenho prinst da conversa e comprovante do pix e fiz um b.o"
2,mercado-pago,"dia 07/09,recebi uma notificaçao no meu emal que tinha descontado no meu cartão de credito uma transaçao PIX de 700 reais  no CNPJ",pix-realizado-e-nao-foi-feito-por-mim_CnLBKZgneQdwEsPi,"dia 07/09,recebi uma notificaçao no meu emal que tinha descontado no meu cartão de credito uma transaçao PIX de 700 reais  no CNPJ 45.312.912/0001-37 GILBERTO ALENCAR COELHO 36136441349 e não foi eu quem fiz.O mercado pago disse que por ser uma transaçao pix que eles não podem fazer nada,fica a minha indignaçao e uma soluçao para o meu problema.Não tenho condiçoes de pagar esse valor"
3,mercado-pago,Prezado Sr. Stelleo ToldaPeço sua atenção para resolver o meu problemaPois pelos canais de atendimento disponíveis ao ,quero-a-segunda-via-da-minha-fatura-acho-que-ate-pombo-correio-seria-mais-eficiente-que-o-atendimento-do-mercado-pago_7QZzd4JkVG2nOuYS,"Prezado Sr. Stelleo ToldaPeço sua atenção para resolver o meu problemaPois pelos canais de atendimento disponíveis ao público não estou conseguindo.E olha que o meu caso é bem simples.Acho que até uma criança que já está alfabetizada conseguiria em menos de 10 segundos resolver meu problema.No entanto a dificuldade que estão tendo, soa como se precisassem de um doutor condecorado do MIT para resolver.Estou apenas pedindo a mais de 8 horas seguidas para que me enviem a segunda via do meu boleto.Tentei ontem dia 08/09/2022 ficaram me transferindo de atendente para atendente.Foram mais 4 horas de tempo perdido sem uma solução. Talvez vocês achem que não tenho outras coisas para fazer? E que tenho todo o tempo do mundo para ficar no telefone para ficar falando e repetindo minha situação zilhões de vezes.Pois bem. hoje dia 09/09/2022 estou novamente nesta batalha, quase que implorando para resolverem essa situação.Mas novamente o incrível, notável, espetacular, sistema de vocês não conseguiu.Se esse problema fosse com uma empresa novata que tem menos de 1 ano de mercado eu até entenderia.No entanto, o Mercado Pago já existe desde 2014. Achei que esses 8 anos de existência, seria tempo suficiente para terem desenvolvidos ou adquiridos sistemas mais eficientes e ágeis.Ou os mais de 837 milhões de dólares de receita do ano de 2020 também fossem utilizados para que os usuários não tivessem uma experiência tão ruim quanto ser enterrado vivo.Minha paciência e esperança agora já estão menores que um átomo.Se não houver uma resposta ainda hoje, amanhã escrevo a continuação deste capítulo. Atenciosamente Eduardo Biase"
4,mercado-pago,Boa tarde! Gostaria de saber a que se refere esse debito que estou sendo cobrada?DADOS DO(S) DÉBITO(S)*Doc,cobranca-de-201-reais-que-desconheco-a-origem_KoIdBxrSsyRIg28w,"Boa tarde! Gostaria de saber a que se refere esse debito que estou sendo cobrada?DADOS DO(S) DÉBITO(S)*Documento de origem:CC-244020322 Natureza de Operação:Relação de ConsumoValor: R$ 201,38 Data do débito:04/07/2022"
5,mercado-pago,"Caros,Venho por meio desta reclamação relatar um problema que está se tornando comum na minha empresa e não sei mais c",sofri-um-editado-pelo-reclame-aqui-de-cliente-e-mercado-pago-nao-me-ressarciu_7TIPHj2zW0obcrxQ,"Caros,Venho por meio desta reclamação relatar um problema que está se tornando comum na minha empresa e não sei mais como recorrer: contestações de venda.Utilizamos a plataforma Mercado Pago para os compradores pagarem com cartão na nossa loja. Quando um cliente não reconhece a compra na fatura do cartão, ele pode abrir uma contestação diretamente com o banco informando o motivo (cartão clonado, não reconhecer a compra etc.).No ano passado, foi a primeira vez que tivemos esse problema na empresa. Um cliente abriu duas contestações de duas compras que ele havia feito no site (uma no valor de R$1.295,20 e a outra no valor de R$932,10) em um período curto e acabamos descobrindo que era um [Editado pelo Reclame Aqui] pois ele havia nos bloqueado no WhatsApp e não conseguimos contato com ele de forma alguma (tentamos ligar, mandamos e-mails, ligamos na portaria do endereço que ele forneceu e não conheciam ninguém com aquele nome). Quando ele abriu essas contestações, ele já tinha recebido os produtos e não tinha mais o que fazer, pois mesmo eu mandando todos os comprovantes (principalmente o de envio) e todas as provas para o Mercado Pago, as contestações foram encerradas a favor do comprador e o valor das compras foi devolvido para ele. Tivemos que arcar com todo o prejuízo pois foram vendas de valores altos e como somos uma empresa que trabalha no modelo de consignação, tivemos que pagar os fornecedores das peças após essas vendas.Além disso, tivemos outros 2 casos de contestações que foram por conta de cartão clonado e conseguimos contato com os clientes para resolver e no final deu tudo certo. Mesmo que esses casos tenham sido resolvidos, as contestações também foram encerradas a favor deles. Só conseguimos, de fato, resolver, pois esses clientes não agiram de[Editado pelo Reclame Aqui] e foram extremamente pacientes para nos ajudar a recuperar o valor dessas vendas. Quando eu digo que foram muito pacientes é porque foi um processo muito demorado que envolvia o banco deles e o Mercado Pago. Eu precisava cobrá-los toda a semana e dependia deles para ajudar pois não tinha acesso ao banco e precisava que eles falassem com o gerente e mandassem os documentos necessários para solucionarmos o problema. Era algo que não estava ao meu alcance, eu dependia 100% deles para recuperar o valor dessas vendas. Depois de meses, conseguimos recuperar os valores.No dia 25/07, uma cliente nova comprou no site em nome de outra pessoa, um homem, mas com o CPF e e-mail dela. O telefone cadastrado durante a compra era inexistente e acabamos conseguindo contato com ela por e-mail. Por e-mail, ela nos passou um telefone para contato pelo WhatsApp e então acabamos prosseguindo com o envio do pedido normalmente. Mandamos o código de rastreio para ela e tudo o mais e vimos que ela recebeu o pedido no dia 27/07. No sábado (30/07), recebi a mensagem de que o pagamento foi contestado e no dia 01/08, quando cheguei ao escritório, vi que o valor (a compra foi no valor de R$1.190,20) já estava retido na nossa conta e que a contestação havia sido encerrada a favor dela. Entrei em contato no chat do Mercado Pago para entender o que houve, pois nas outras vezes que isso aconteceu, eu pude tentar recorrer mandando os comprovantes solicitados. O funcionário que me atendeu pediu para eu mandar os documentos pelo chat mesmo e que ele encaminharia ao setor responsável para análise. Enquanto isso, pesquisei mais afundo sobre essa contestação e encontrei algumas informações na qual o Mercado Pago informa que não cobre contestações e que a Visa (bandeira do cartão da cliente) fará uma análise, que acredito que será enrolação, pois já sei o fim que isso vai dar (imagem 1) já que o valor já foi estornado para a conta da cliente. Eles informaram também (na imagem 2) que cancelaram esse pagamento porque o banco não aceita mais o comprovante de entrega do produto, que o cliente não reconheceu o pagamento da compra e que como eu não enviei o comprovante de entrega do produto antes do dia 10 de agosto (o que é mentira, pois não apareceu a opção no Mercado Pago para eu anexar os documentos e acabei mandando no chat no dia 01/08), eles tiveram que reter o valor.No dia 02/08, o Mercado Pago encerrou a análise informando que, por um acordo comercial, a operação não será coberta (imagem 3). Achei isso um absurdo, pois eu não estava ciente de nenhum acordo comercial e nem sabia que eu tinha um assessor do Mercado Pago. Ou seja, todas as vezes que tive esse mesmo problema, os funcionários só me enrolaram. Ninguém de fato disse que meu contrato comercial não cobre contestações. Eu também não me recordo de assinar nenhum contrato com o Mercado Pago.No chat do Mercado Pago, solicitei o contato da minha assessora que eu nem sabia que tinha. Me passaram o contato dela e tentei mandar e-mail, mas ela estava afastada por motivos de saúde e me passou o contato de outro assessor, Rodrigo, que seguiu o atendimento comigo.Ele me informou, por WhatsApp, que na verdade não temos um contrato com o Mercado Pago e sim Termos e Condições que é válido para todos os usuários da plataforma. Ele mandou os dois links que falam desses termos:Link 1: https://conteudo.mercadopago.com.br/programa-de-protecao-ao-vendedor-entenda-a-importancia-para-proteger-quem-vende-e-garantir-beneficios-para-quem-compraQue diz o seguinte:Nossa Política de Proteção ao Vendedor foi criada para garantir que quando houver pedidos de chargeback - e, acredite, cedo ou tarde vai haver - a transação não seja perdida. E seu funcionamento é extremamente simples. Se você já usa o Mercado Pago como meio de pagamento do seu e-commerce, vendeu um produto e tem os comprovantes, está protegido em caso de contestação.Ou seja, com as confirmações de venda e entrega do produto por parte do lojista, nós arcamos com o valor e com as disputas. Assim, você vende sabendo que tem toda a proteção que precisa e evita dores de cabeça.A documentação exigida para participar da Política de Proteção ao Vendedor depende do método de entrega escolhido.Envio pelos Correios: são necessários o código de rastreamento da entrega e o Aviso de Recebimento (AR) devidamente assinado.Link 2: https://conteudo.mercadopago.com.br/disputa-de-contestacoes-mais-uma-maneira-com-que-o-mercado-pago-te-protege-contra-chargebacksQue diz o seguinte:As contestações de pagamento - ou, como também são conhecidas, os famosos chargebacks - são uma dor de cabeça para qualquer tipo de negócio. Elas se tratam de um direito importante para o consumidor, impedindo que seja cobrado de maneira indevida: caso não receba o produto ou ele não seja como descrito no anúncio do vendedor.Na Política de Proteção ao Vendedor, o Mercado Pago trabalha para proteger os lojistas contra casos de chargebacks em que há tentativas de [Editado pelo Reclame Aqui] ou intenções maliciosas por parte do comprador.Com ela, nosso meio de pagamento cobre o valor da contestação e ajuda o vendedor a responder de maneira apropriada e com as devidas documentações para resolver a situação da melhor formaO Mercado Pago está se contradizendo, pois todas as vezes eu perdi as causas mesmo mandando os comprovantes solicitados. E se esses Termos e Condições são para todos os usuários, por que não tive a cobertura? Não entendo como o Mercado Pago não pode cobrir essas contestações. Qual a segurança que eu tenho de vender por eles sendo que qualquer problema desse tipo, eu sairei no prejuízo mesmo enviando provas e comprovantes da venda e de entrega? Não posso deixar isso para lá, pois se isso se tornar mais frequente, será um problema muito maior. Toda vez que um cliente comprar por lá e abrir uma contestação ele vai ganhar, pois o Mercado Pago não dá nenhuma segurança e garantia. Eles exigem Nota Fiscal ou DANFE para eu anexar na minha defesa, mas já os informei que somos uma empresa intermediadora de serviços (brechó) e, portanto, só emitimos notas de serviço em nome do fornecedor da peça. Tenho o comprovante de envio, assinatura da cliente que comprova que ela recebeu a peça que comprou e prints de conversa.Considerando esses Termos que são discrepantes do que foi a assessora do Mercado Pago informou posteriormente, solicito o estorno para minha conta de todas as contestações perdidas. Ainda possuo todos os comprovantes, se necessário.Falei com meu advogado jurídico e ele me informou que o Mercado Pago não pode exigir Nota Fiscal se somos uma empresa que trabalha no modelo de consignação. Eu só emito notas de serviço que vai em nome do fornecedor do produto.Gostaria de reforçar que eu já fiz essa mesma reclamação pela minha conta de pessoa física no Reclame Aqui e não tive retorno e também reclamei no Procon no dia 08/08 e até hoje não tive um retorno. Como já havia passado o prazo para o Mercado Pago responder, o Procon encerrou minha reclamação. Aguardo uma solução."
6,mercado-pago,"Já entrei em contato com o Mercado Pago, atraves de email, telefone, sempre uma tremenda burocracia, ligações que são deslidas, em",empresa-conivente-com-editado-pelo-reclame-aqui_AEYRV6SPKkJq5tc5,"Já entrei em contato com o Mercado Pago, atraves de email, telefone, sempre uma tremenda burocracia, ligações que são deslidas, emails sem resposta enquanto isso estamos recebendo emails com uma suposta fatura da VIVO.Quando digitamdo o codigo de barra aparece o nome de Beneficiario MercadoPAgo e beneficiario final Adamilton da Silva Carvalho, obvio que é um tipo de [Editado pelo Reclame Aqui].Como mencionei anteriormente já tentei varias tentativas e a empresa se recusa em resolver a questão sendo conivente e deixando as pessoas serem [Editado pelo Reclame Aqui], estou avisando a mais de 4 meses e nada é feito, e conversando com pessoas conhecidas, também estão recebendo, já entraram em contato mas sem resultado também."
7,mercado-pago,"Bom dia meu nome é Thiago. Eu sempre tive a opção empréstimo pessoal no mercado pago, sempre usei e sempre paguei antes do v",meu-emprestimo-pessoal-foi-retirado_gjq9BUSi1U5p0Fap,"Bom dia meu nome é Thiago. Eu sempre tive a opção empréstimo pessoal no mercado pago, sempre usei e sempre paguei antes do vencimento  Agora essa opção foi tirada, eu me encontro em uma emergência e não tenho onde recorrer."
8,mercado-pago,Fiz um acordo da minha divida em 12x justamente para tirar a pendencia do meu cpfPois isso tem me prejudicado no mercado ,fiz-um-acordo-de-uma-divida-mas-nome-fica-com-inadimplencia_0usZv_TqXKM-LmJf,"Fiz um acordo da minha divida em 12x justamente para tirar a pendencia do meu cpfPois isso tem me prejudicado no mercado Em fim no final do acordo atende me fala que meu nome só sairá da restrição quando eu pagar a última parcela desse acordo no caso daqui um ano ?Como assim mercado pago qualquer empresa pagando na primeira parcela já limpa o nome do consumidor e vocês não ?Como fica isso quero saber meu direito de consumidora acredito que isso não possa ser legal, pois se geramos um acorde e pagamos deve sim ser tirado nome de restrição!!!"
9,mercado-pago,"Foi constatado em minha conta do Aplicativo do Banco Mercado  Pago, diversas transferências que desconheço, de valores baixos, imp",subtracao-de-saldo_K93TbQVcaarXr5bM,"Foi constatado em minha conta do Aplicativo do Banco Mercado  Pago, diversas transferências que desconheço, de valores baixos, impossibilitando a notificação das transações em meu aplicativo ou e-mail cadastrado no período entre os dias 26 de agosto e 04 de setembro de 2022. O banco foi contatado e realizou apenas o bloqueio da conta em questão. Valor furtado de 1700,00 Reais. Os valores em questão não foram ressarcidos pelo agente bancário até o momento do registro deste boletim de ocorrência.N do caso (atendimento do Banco): 204237301Número da reclamação: 204251939"
