,company_name,description,href,full_complain
0,pagseguro,"Bom dia,atendimentos via Whatsapp são impossiveis de entrar em acordo.por gentileza, verificar meus débitos, meu",nao-consigo-entender-o-que-devo-e-quero-pagar_aClOtlb2QWpwqRGQ,"Bom dia,atendimentos via Whatsapp são impossiveis de entrar em acordo.por gentileza, verificar meus débitos, meu cartao de crédito foi 100% quitado e acredito q devol algum emprestimo.quero fechar a conta.aguardo retorno."
1,pagseguro,Esse banco oferece limite maior de cartão de crédito e um bônus na conta para quem levar seu salário em portabilidade. ,propaganda-enganosa_i2yyXZukdehFdfC-,"Esse banco oferece limite maior de cartão de crédito e um bônus na conta para quem levar seu salário em portabilidade. Pois bem, eu fiz isso da primeira vez em 2019 e deu certo. Mudei de empresa, reduziram ao mínimo o limite do meu cartão e me fizeram a mesma proposta para voltar com meu salario para esse banco. Desde 03/2022 esperando esses benefícios, e agora me dizem que não existe."
2,pagseguro,"Há 5 meses sem o meu dinheiro de volta Tentei renegociar, sem sucesso Atendentes despreparados Sem educação ",pag-bank-ta-de-brincadeira_vgopIPiOH3L_ZOUM,"Há 5 meses sem o meu dinheiro de volta Tentei renegociar, sem sucesso Atendentes despreparados Sem educação Só Quero meu estorno, só isso Palhaçada, descaso ,humilhação "
3,pagseguro,"Meu pai faleceu faz dois meses e desde então não conseguimos efetuar o cancelamento da conta ou resgatar o dinheiro, não temos ace",titular-da-contamaquininha-faleceu_bjH7OybsFmoaTJ2B,"Meu pai faleceu faz dois meses e desde então não conseguimos efetuar o cancelamento da conta ou resgatar o dinheiro, não temos acesso as senhas dele e não conseguimos contato com o SAC da empresa. Quero saber como devo prosseguir nesse caso."
4,pagseguro,Eu preenchi os papel em mão mandei para eles coloquei o contato da pessoa de quem comprou só ele se entrar em contato com a pessoa,fui-vender-um-celula-quininha-do-pagbank-ai-a-moca-passou-o-cartao-mais-de-tres-vezes-na-maquininha-quando-foi-aceito-o-saldo-ja-caiu-na-conta-bloqueado-fui-tentar-entrar-em-contato-com-eles-eles-estao-falando-para-mim-mandar-nota-fiscal-comprovante-de-ve_hwQdlGDEs3NHHTiR,Eu preenchi os papel em mão mandei para eles coloquei o contato da pessoa de quem comprou só ele se entrar em contato com a pessoa ou então o banco da dona do cartão
5,pagseguro,"Estou tentando encerrar a minha conta no PagBank/PagSeguro, mas o aplicativo só me dá acesso para solicitar o encerramento mediant",obstaculos-para-realizar-o-encerramento-da-conta_Xn_a8phw9icMfof3,"Estou tentando encerrar a minha conta no PagBank/PagSeguro, mas o aplicativo só me dá acesso para solicitar o encerramento mediante envio de foto e de documentos que não foram solicitados na abertura da conta. Se não me foi exigida nenhuma foto ou documento para abrir a conta, qual é a justificativa para me obrigarem a disponibilizar meus documentos pessoais agora que desejo encerrar o meu relacionamento comercial com a referida empresa? Além disso, percebi que existem dois endereços de e-mail vinculados à minha conta, e um deles se refere a um e-mail antigo que já não utilizo há muito tempo. Não estou certa se isso significa que eu tenho duas contas abertas no PagBank/PagSeguro, mas, se for o caso, desejo encerrar as duas contas."
6,pagseguro,"Eu fiquei desempregada e não consegui mais pagar as faturas do cartão de crédito, agora que consegui um trabalho tenho como pagar ",cartao-de-credito_K-uLl_lfpvZwsG2x,"Eu fiquei desempregada e não consegui mais pagar as faturas do cartão de crédito, agora que consegui um trabalho tenho como pagar a dívida sem os juros pois o valor era de 1379,63 no mês de Abril depois disso começou entrar encargos de 2 de 141.00 no mês de maio, 221.82 em junho, 265.72 no mês de julho apoia isso foi subindo mais  e a dívida está em 2.067,00 até o momento pois não atualizou ainda, entrei em contato pedindo pra tirar os juros que consigo pagar em 2 parcelas, mas preferem parcelar em 18 vezes pra aumentar mais ainda a dívida em vez de negociar e eu conseguir pagar tudo logo, quero uma solução, pois quero pagar mas nas condições que o banco está oferecendo impossível, pois quero pagar logo, sempre paguei tudo certinho até eu ficar desempregada.Tenho um bom histórico no banco, aguardo uma solução."
7,pagseguro,Eu solicitei um pedido de um cartão de crédito físico que não chegou o App marcou como recebido só que eu não recebe nada,cartao-de-credito-fisico-nao-recebido_qheFY2xF59BTNEIC,Eu solicitei um pedido de um cartão de crédito físico que não chegou o App marcou como recebido só que eu não recebe nada
8,pagseguro,Em 2021 ao efetuar uma compra em um supermercado através do App do Ifood faltaram alguns itrens e ficou que paguei pelo que não re,estorno-de-valores-indevidos-retirod-pelo-ifood-efetuado-em11082022-em-meu-cartao-pagbank_0pQPIkGnvzKSdvAV,"Em 2021 ao efetuar uma compra em um supermercado através do App do Ifood faltaram alguns itrens e ficou que paguei pelo que não recebi! Tais valores ficaram retidos ilegal e arbitrariamente pelo Ifood que após denúncia conforme comprovante em anexo( emitido pelo Ifood) em 11/08/2022 estornaram o valore de R$22.00 ( Vinte e Dois Reais eem meu cartão Pagbank que até o presente momento não me creditou tais valores! Por exaustivas oportunidades tentei contato com o Pagbank através do aplicatico que tenho em meu celular( e que obviamente sou correntista ainda), em vão! Tentei contato com o telefone do Pagbank 4003-6624 também em vão! Quero deixar aqui meus veementes protestos e repúdio ao Pagbank que não disponibiliza nenhuma ferramente a seus correntistas para solucinar quest~]oes dessa natureza e informo que no espaço de 72 hrs a contar dessa presente denúncia se não tiver meus valores estornado à credito pelo Pag bank,oferecerei denúncia ao Banco Central e tomarei as medidas jurídicas cabíveis através de meu advogado! Luiz Rodrigues - Cpf: 125.762.2968-67"
9,pagseguro,tenho uma loja de eletrônicos e no dia 04/09/2022 fiz a venda de 2 iphones para um determinado cliente cuja compra foi no valor de,saldo-bloqueado_m9j3YH0XMWt8H2SM,"tenho uma loja de eletrônicos e no dia 04/09/2022 fiz a venda de 2 iphones para um determinado cliente cuja compra foi no valor de 17.251,00 parcelado em 12x no cartão e por conta disso simplesmente a pag bank de forma de desrespeitosa bloqueo meu saldo desde esses últimos dias um verdadeiro inferno pois não posso honrar com meus compromissos, salario de funcionário atrasado, fornecedor atrasado, aluguel atrasado, enfim um verdadeiro inferno. sendo que enviei todos os documentos referente a negociação e ele simplesmente ingnoraram e pediram novamente os meus documentos, aconselho a todos que não usem a pag seguro pois e o pior banco que existe, suporte ruim,  e você não consegue resolver nada, portanto se você não quiser sofrer e ter dor de cabeça não use os serviços da pagseguro.já falei com meu advogado e estou entrando com uma ação na justiça por danos morais, pois em hipótese alguma um banco deve privar os seus usuários a usarem os seus dividendos, se o banco suspeita de algo ele deve ligar para os seus clientes e não fazer o bloqueio de vários dias seguidos causando todos os piores transtornos possíveispior banco do brasil, caiam fora"
