CNPJ;DENOM_SOCIAL;DENOM_COMERC;DT_REG;SIT;DT_INI_SIT;WEBSITE;EMAIL;TP_ENDER;LOGRADOURO;COMPL;BAIRRO;MUN;UF;CEP;DDD;TEL
14.166.791/0001-39;Economia Criativa Investimentos e Participações - EIRELI;MyFirstIPO;2018-01-10;Em Funcionamento Normal;2011-08-11;https://myfirstipo.com/;melito@economiacriativa.com;Sede;Rua Dr. Guilherme Bannitz, 126;cj.81 - CV9118;Itaim Bibi;SÃO PAULO;SP;4532060;11;30403046
17.131.750/0001-03;BASEMENT SOLUCOES DE CAPTACAO E REGISTRO LTDA.;Basement;2018-03-19;Em Funcionamento Normal;2014-01-08;https://www.kria.vc/;contato@basement.io;Sede;R. Dr. Virginio de Carvalho Pinto, 433;1º andar;Pinheiros;SÃO PAULO;SP;5415030;11;30320430
17.185.096/0001-02;Athan Incorporação, Investimentos & Financeiro LTDA;THInvest;2019-04-22;Em Funcionamento Normal;2019-04-22;;thinvestcombr@gmail.com;Sede;Quadra 6, CL Lote 8 Loja 01;;Setor Leste (Gama);BRASÍLIA;DF;72450060;61;981087468
17.605.805/0001-61;Start me up Crowdfunding Sistemas para Investimento Colaborativo Ltda;StartMeUp;2018-02-09;Em Funcionamento Normal;2013-02-01;https://www.startmeup.com.br;faleconosco@startmeup.com.br;Sede;Av. Angélica, 2529;Complemento InovaBra Habitat;Bairro Bela Vista;SÃO PAULO;SP;1227200;11;999028490
17.740.274/0001-10;VENTIUR Investimentos em Novos Negócios S.A;VENTIUR Aceleradora;2021-07-08;Em Funcionamento Normal;2021-07-08;www.ventiur.net;contato@ventiur.net;Sede;Av. Unisinos, 950;Unitec I - Sala 101;Cristo Rei;SÃO LEOPOLDO;RS;93022750;51;991502429
21.013.359/0001-73;Urbe.ME Serviços Desenvolvimento Urbano Ltda - EPP;URBE.ME;2018-01-09;Cancelado;2020-06-25;https://urbe.me;contato@urbe.me;Sede;Av. Osvaldo Aranha, 790;s/ 401;Bairro Bom Fim;PORTO ALEGRE;RS;90035191;51;32769631
21.650.000/0001-07;We Build Tecnologia Ltda.;WE BUILD;2018-11-30;Em Funcionamento Normal;2018-11-30;https://webuild.com.br/;contato@webuild.com.br;Sede;Avenida Doutor Nilo Peçanha,  2900;12º andar, Sala 1201;Bela Vista;PORTO ALEGRE;RS;91330001;51;30736200
21.839.542/0001-22;EqSeed LTDA;EqSeed;2018-01-10;Em Funcionamento Normal;2015-02-06;https://eqseed.com/;faleconosco@eqseed.com;Sede;Rua Visconde de Pirajá, 550;Sala 1401;Ipanema;RIO DE JANEIRO;RJ;22410002;21;989867410
23.768.978/0001-01;HURST Serviços de Investimento Coletivo Ltda.;Hurst Serviços de Investimento Coletivo Ltda;2018-11-26;Em Funcionamento Normal;2018-11-26;www.hurst.capital;leonardo.vianna@hurst.capital;Sede;Rua Pedroso Alvarenga, 1284;Conjunto 131;Itaim Bibi;SÃO PAULO;SP;4531004;11;40038973
25.423.067/0001-60;D Interação e Tecnologia Eirelli;UPANGEL;2019-02-26;Cancelado;2020-12-28;;upangel@upangel.com.br;Sede;Avenida Floriano Peixoto, 5525;Sala 05;Granja Marileusa;UBERLÂNDIA;MG;38406642;34;32316547
26.496.910/0001-09;NANO PLATAFORMA DE INVESTIMENTO COLETIVO LTDA;NANO CAPITAL;2021-11-22;Em Funcionamento Normal;2021-11-22;;daniel@nanocapital.com.br;Sede;Avenida das Nações Unidas Unidas, 12995;1º andar, conjunto 22;Brooklin Paulista;SÃO PAULO;SP;4578911;11;973809085
