,company_name,description,href,full_complain
0,1xbet-com,"quando vou sacar aparece isso ""Os levantamentos só serão aprovados quando realizados utilizando o mesmo método de pagamento q",nao-estou-consguindo-sacar-meu-dinheiro_FwbP0lRkKyiqYrIt,"quando vou sacar aparece isso ""Os levantamentos só serão aprovados quando realizados utilizando o mesmo método de pagamento que foi utilizado para fazer um depósito""sendo que eu fiz o deposito por cartão como vou sacar o dinheiro por cartão? ridículo fazer isso com o consumidor! "
1,1xbet-com,Fiz um depósito no cartão de crédito hoje para testar a plataforma e odiei pois a mesma é muito confusa. Ao tentar sacar o dinheir,nao-consigo-sacar_huIHjUDYfl3i0oc-,"Fiz um depósito no cartão de crédito hoje para testar a plataforma e odiei pois a mesma é muito confusa. Ao tentar sacar o dinheiro via pix, informam que a forma de saque tem que ser a mesma usada para depósito. Como é que vou fazer saque no cartão de crédito? Não existe nem a opção. O chat é inexistente e o atendimento é um lixo. Pior casa de aposta que já vi."
2,1xbet-com,"Realizei um depósito via pix no valor irrisório no dia 12/08 do qual não compensou na minha conta 1xbet, entrei em contato via cha",deposito-via-pix-nao-entrou-na-conta_GeY-4JT_1_6T8D1e,"Realizei um depósito via pix no valor irrisório no dia 12/08 do qual não compensou na minha conta 1xbet, entrei em contato via chat/operador que após 2x tentativas de tentar solucionar essa demanda me informou um e-mail do qual eu deveria direcionar esse fato, enviei o e-mail no dia 13/08 explicando em detalhes e enviando as prints das telas do meu pedido e do comprovante bancário do pix e do histórico de transação da própria casa de apostas, em outro momento a 1xbet me solicitou todo histórico de transações da minha conta bancária em PDF o que foi fornecido no dia 26/08. Ainda não obtive nenhuma resposta ou auxilio, sendo que faz quase 30 dias que não consigo utilizar esse saldo.ID 268024073Saliento que gosto muito da 1xbet, mas nesse caso me deixou muito a desejar e estou pensando seriamente em deixar de utilizar seus serviços e procurar outra empresa."
3,1xbet-com,1 - Fiz meu primerio deposito de R$ 15 nesta empresa de apostas 2 - Prometeram um bonus e nao o recebi3 - Fiz uma apos,pegaram-o-valor-do-meu-deposito_8jx6Ce0hANEg4VrL,"1 - Fiz meu primerio deposito de R$ 15 nesta empresa de apostas 2 - Prometeram um bonus e nao o recebi3 - Fiz uma aposta com os estes R$ 15, e pra minha surpresa, no final do dia 03/09/2022, eu fui verificar a minha aposta ela nao apareceu nem no historico de aposta, ou seja, consumiram meus R$ 15 reais e eu nem sei o que aconteceu com a aposta que fiz.CONCLUSAO:a pior casa de aposta que ja apostei, nao a recomendo pra ninguem."
4,1xbet-com,"Que tipo de detalhes? O usuário simplesmente deslogou, tenho comprovantes de pix feito pra minha conta prints de apostas feitas pr",usuario-deslogou_kjcP6Fyx5RgZN_1M,"Que tipo de detalhes? O usuário simplesmente deslogou, tenho comprovantes de pix feito pra minha conta prints de apostas feitas print do erro, se tu quiser eu mando.Mas já tá bem explicado lá na primeira reclamação e já passei o e-mail que me pediram. Vocês não percebem que essa demora é ruim pra empresa, sempre apostei somente na 1xbet, agora ficam demorando pra resolver um problema simples de deslogo. "
5,1xbet-com,Fiz um depósito no valor de 250 reais Via PIX e até agora não foi creditado em minha conta 1xBet.Já reclamei diversas vezes ,para-onde-foi-meu-dinheiro_wc7wJVBJ28bR6682,"Fiz um depósito no valor de 250 reais Via PIX e até agora não foi creditado em minha conta 1xBet.Já reclamei diversas vezes pois já tem mais de uma semana, me responderam mas ainda não solucionaram.Já reclamei via Chat e E-mail, mas não resolveram. Segue abaixo informações e comprovante em anexo.iD: 40213959Usuário: toretto74Email: brunosouzadeassis@hotmail.comCelular: 21976277245Data: 27/08/2022Horário: 15:04:25Valor: R$ 250"
6,1xbet-com,"Fiz uma aposta em 5 times,onde só não podia dar empate,aposte na opção 12,mesmo assim com jogos ganho,e um jogo a resolver ficaram",enganacao_vcKWXexmiVVqrKsP,"Fiz uma aposta em 5 times,onde só não podia dar empate,aposte na opção 12,mesmo assim com jogos ganho,e um jogo a resolver ficaram com meu dinheiro,e colocaram que eu perdi a aposta,cuidado com a 1xbest, é [Editado pelo Reclame Aqui] puro,pura enganação."
7,1xbet-com,"Tentei fazer o saque, a 1xbet pediu documentos e após mandar todos e responder uma série de perguntas eles bloquearam minha conta ",fui-tentar-fazer-o-saque-e-a-1xbet-bloqueou-minha-conta_tKUp85PDonDNiid6,"Tentei fazer o saque, a 1xbet pediu documentos e após mandar todos e responder uma série de perguntas eles bloquearam minha conta e eu não consigo nem sacar o meu saldo que estava na plataforma."
8,1xbet-com,"Enviei um e-mail para ""info-pt@1xbet-team.com"" dia 26/08/22, e ainda não recebi retorno sobre a mudança do meu número. Q",nao-respondem-o-email-da-troca-de-numero-de-celular_lQR_7x7jXwtoc9tS,"Enviei um e-mail para ""info-pt@1xbet-team.com"" dia 26/08/22, e ainda não recebi retorno sobre a mudança do meu número. Que na verdade não é nem mudança, é apenas acrescentar o DDD que não foi posto. Enviei o pedido e as fotos da documentação como pedido."
9,1xbet-com,Olá. Eu recebi e-mail da 1xbet aonde informava que após preenchimento da pesquisa um voucher com bônus seria enviado. Após diversa,sequestro-de-dados-pessoais_54k6R2uSMttumZM9,"Olá. Eu recebi e-mail da 1xbet aonde informava que após preenchimento da pesquisa um voucher com bônus seria enviado. Após diversas tentativas de contato, sendo ignorado muitas vezes no chat, após indicar que o assunto era este, houve a pior situação que já vivi. Eu fiz, educadamente, a solicitação de exclusão de conta, o que, na verdade, deveria estar fácil com alguns cliques de botão. Eis que o atendente questiona-me o motivo da solicitação de exclusão. Eu respondo normalmente. Após minha resposta, recebo um retorno absurdo. Além de todas as informações que eles já têm, querem que eu preencha formulário anexando documentos de identificação. Quando eu questiono, viro uma piada pra eles."
