,company_name,description,href,full_complain
0,bet365,"meu nome é Leandro, fiz o cadastro na bet365 já faz mais de 45 dias, depositei 30 reaisestava dando erro não conseguia apost",fiz-deposito-na-bet365-e-sumiu-minha-conta-e-o-dinheiro_PSeQYWwt5m_BwTqt,"meu nome é Leandro, fiz o cadastro na bet365 já faz mais de 45 dias, depositei 30 reaisestava dando erro não conseguia apostar no outro dia sumiu minha conta entrei em contato com a empresa me disseram que como já tinha feito uma conta antes não aceitaram uma segunda conta não me lembrava dessa conta tudo bem queria meu dinheiro de volta pelo menos já que fui bloqueado não me retornaram mandei e-mail pois não o chat deles não funciona e não tem nenhum atendente real só virtual deixa muito a desejar a muitas outras casas quero pelo menos meu dinheiro de volta já que não poso usar o serviço da casa espero uma solução "
1,bet365,"Apostei mais de 0,5 q o Gabriel jesus ia dar no jogo entre arsenal e Manchester..E não foi computado",site-bugado_fwNH_6Se-47fXdK-,"Apostei mais de 0,5 q o Gabriel jesus ia dar no jogo entre arsenal e Manchester..E não foi computado"
2,bet365,"Ja fiz todos os procedimentos de cadastro e até mesmo a validação de código postal, aonde eles enviaram uma carta pra minha residê",nao-consigo-depositar-pra-usar-a-conta_Z5wOwARtF9fMbDeB,"Ja fiz todos os procedimentos de cadastro e até mesmo a validação de código postal, aonde eles enviaram uma carta pra minha residência com um código e eu digitei na minha conta pra validar meu endereço, meus documentos foram validados também porém ao tentar realizar um depósito pra usar a conta me dá uma mensagem de erro com o código ""sd01"" pedindo pra entrar em contato pra esclarecer, por email ninguém retorna e pelo chat a fila é imensa e sempre finaliza a espera de atendimento bem antes de chegar a minha vez isso depois de esperar horas. Em fim não consegui ajuda de nenhuma forma e não consigo usar a minha conta. Quero esclarecimentos!"
3,bet365,Hoje dia 04/09 observei que meu saldo estava negativo em 65 reais e alguns centavos recuperei o saldo de uma aposta de 15 reais e ,saldo-negativo-apropriacao-indevida-de-valor_XJuinfTWEfCr61iA,"Hoje dia 04/09 observei que meu saldo estava negativo em 65 reais e alguns centavos recuperei o saldo de uma aposta de 15 reais e vi que o saldo foi descontado e o negativo foi para 49 e alguns centavos entrei no chat fiquei mais de 3 horas para ser atendida ao falar com  a atendente ela não soube me explicar e me mandou esperar por diversas vezes que  iria verifica pois bem, após me pedir para esperar pela pela 3 vez falei que não havia o que verificar era só tirar o saldo negativo e me devolver a contia descontada em alguns segundos ela tirou o saldo negativo e eu pedi a devolução do valor,ela perguntou se poderia ficar com o valor que era de uma aposta perdida que foi dada como ganha e que como eu era estimada poderíamos fechar em 15,00, falei que nao era minha culpa e que queria sabe qual a posta,pois bem em alguns min fui fazer minha aposta e vi o valor de 15 como crédito e não saldo até aí ok, tava cansada e agradeci sem olhar direito que ela descontou do saldo que havia na minha conta os 15,00 para me devolver. Além de tudo isso não consegui fazer o resgate dos valores que ganhei prenderam os fundos Não recomendo e não voltarei a jogar nesta plataforma."
4,bet365,"Tentei fazer depósito na bet365 com meu cartão de crédito duas vezes não consegui, aí vou depósito 300 reais via pix me dão block ",editado-pelo-reclame-aqui-ao-cliente_pkixb4nOSxzst5Pp,"Tentei fazer depósito na bet365 com meu cartão de crédito duas vezes não consegui, aí vou depósito 300 reais via pix me dão block na conta e pedem foto do meu cartão, chega ser ilógico isso onde já se viu eu ter que mandar foto do meu cartão com meus dados pessoais "
5,bet365,"Fiz aposta no jogo do Barcelona ontem. Criei a seguinte aposta1 gol de Lewandowski + acima 0,5 chute a gol de Dembele ",ganhei-aposta-e-depois-cancelaram-o-premio-do-bilhete_BZ3021nXkUykjdLD,"Fiz aposta no jogo do Barcelona ontem. Criei a seguinte aposta1 gol de Lewandowski + acima 0,5 chute a gol de Dembele + acima 1,5 finalização de Dembele.Acertei e ganhei o prêmio na conta. Hoje pela manhã ao abrir o site pra minha surpresa está marcado como errado sem prêmio. Que absurdo eles mudarem assim dessa forma. GE9835801161W"
6,bet365,"Fiz uma aposta na bet365 onde deveria sair mais de 4,5 cartões, saíram 5 cartões e mesmo assim a casa de aposta deu minha aposta c",aposta-perdida-errada_tabXArES2DG4Cezb,"Fiz uma aposta na bet365 onde deveria sair mais de 4,5 cartões, saíram 5 cartões e mesmo assim a casa de aposta deu minha aposta como perdida, um verdadeiro [Editado pelo Reclame Aqui] com o apostador. "
7,bet365,"Não consigo fazer atualização da minha conta ,pra fazer meu saque ",saque_CeyW7dd145RlQOIe,"Não consigo fazer atualização da minha conta ,pra fazer meu saque "
8,bet365,"Recentemente fiz uma aposta onde determinei que um jogador marcaria a qualquer momento no jogo, porém o tal jogador ficou na reser",aposta-nao-anulada_injBNxhO1gqidr8d,"Recentemente fiz uma aposta onde determinei que um jogador marcaria a qualquer momento no jogo, porém o tal jogador ficou na reserva e entrou no segundo tempo do jogo e então o tal jogo foi anulado e sequentemete a odd abaixada dd forma exorbitante..Hj fiz uma outra aposta onde um outro tal jogador marcaria a qualquer momento e ele tbm só entrou no segundo tempo e a bet me deu um red."
9,bet365,Fiz uma aposta de 45 reais AMÉRICA MG X CORITIBA com vitória do America MG. Ganhei a aposta e o site demorou bastante para credita,perdi-uma-aposta-que-nao-fiz-e-debitaram-45-reais_0Lf0H2hZSUcQXzyX,"Fiz uma aposta de 45 reais AMÉRICA MG X CORITIBA com vitória do America MG. Ganhei a aposta e o site demorou bastante para creditar a aposta. Mais tarde, no histórico de aposta do perfil constava que fiz além da aposta citada acima uma outra de um jogo do futebol Venezuelano. Caracas X Metropolitanos onde perdi essa aposta e perdi os 45 reais. No chat não tem opção de entrar em contato com o site nem.por email. "
