Company,Company Name for Emails,Account Stage,Lists,# Employees,Industry,Account Owner,Website,Company Linkedin Url,Facebook Url,Twitter Url,Company Street,Company City,Company State,Company Country,Company Postal Code,Company Address,Keywords,Company Phone,SEO Description,Technologies,Total Funding,Latest Funding,Latest Funding Amount,Last Raised At,Annual Revenue,Number of Retail Locations,Apollo Account Id,SIC Codes,Short Description,Founded Year,Logo Url
Mansion,Mansion,Cold,"GAMBLING - 10/06/2022, bet - estudo",410,gambling & casinos,"",http://www.mansion.com,http://www.linkedin.com/company/mansion,https://www.facebook.com/TheMansionTeam/,https://twitter.com/Mansion_Group,315 Main Street,Gibraltar,"",Gibraltar,GX11 1AA,"315 Main Street, Gibraltar, Gibraltar, GX11 1AA","online casino, casino operator, sportsbook",(800) 279-0690,"","UltraDns, Amazon SES, Mailchimp Mandrill, Outlook, StatusPage IO, Shutterstock, Mobile Friendly, WordPress.org, Apache, Incapsula, Google Font API","","","","","","",62a36712980b2b00a49c25be,7900,"With over 15 years' experience in online gaming, Mansion enjoys a global reputation as one of the industry's most trusted and innovative names. Boasting three high-performing casino brands, Casino.com, MansionCasino and Slots Heaven; and a sportsbook, MansionBet, we make it our mission to offer the greatest gaming experience possible on every one of our sites. 

We are proud to be a creative group of big-thinkers, continuing to thrive in an increasingly fast-paced industry, year after year. As a company, we're always moving forward – constantly refining our products and brands to ensure we stay ahead of the competition. 

Our success speaks for itself; not only were we awarded for ‘Employee Wellbeing' at the 2019 WiG Awards, but we also landed ‘Best Customer Service Company 2020' and ‘Online Casino Operator of the Year 2018' at the IGAs, as well as ‘Most Responsible Online Gambling Operator, Global 2018' for the CFI Awards.

Our HQ is based in Gibraltar, but we also have offices in Sotogrande, Spain and Sofia, Bulgaria too. 

The ‘Mansion Spirit' is something we are proud of, which is based on strong leadership, clear direction, open communication and working well as a team across all three of our locations.

We're continuously growing, so be sure to keep an eye out for any roles that may suit you. There has never been a better time to join.",2004,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/631b69f374b4f60001f304d8/picture
World Sports Betting,World Sports Betting,Cold,"GAMBLING - 10/06/2022, bet - estudo",200,gambling & casinos,"",http://www.worldsportsbetting.co.za,http://www.linkedin.com/company/world-sports-betting,"","",Banbury Gdns,Randburg,Gauteng,South Africa,2188,"Banbury Gdns, Randburg, Gauteng, South Africa, 2188","gaming, ebusiness, sports content, banking, risk management, cross channel technology services, retail","","","Cloudflare DNS, CloudFlare Hosting, Atlassian Cloud","","","","","","",62a36712980b2b00a49c25ca,"","World Sports Betting (WSB), is one of South Africa's and ultimately Africa's leading Bookmakers which offers national, continental and international sports betting, live in play betting, lotto and powerball as well as global horse race betting.

Established by Warren Tannous in 2002 and licensed and governed by the Gauteng & National Gambling Board, World Sports Betting has grown into a global online and retail operation
World Sports Betting is an established casino, racing and sports book operation with an existing staff compliment of approximately 1000 employees, ranging from Directors, Junior and Senior Traders, IT Engineers, Junior and Senior Administrators, Branch Managers and Retail Cashiers.

In 2009, World Sports Betting launched its online platform where the speed of the website, easy to use layout, the large variety of markets available (both pre-match and in-play) as well as the market specific products made available to the African Market, made WSB Online and more recently WSB Mobi an instant market leader.",2002,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6320b833920fc00001c14d0c/picture
Merrybet Gold Limited,Merrybet Gold Limited,Cold,"GAMBLING - 10/06/2022, bet - estudo",140,gambling & casinos,"",http://www.merrybet.com,http://www.linkedin.com/company/merrybet-gold-limited,https://facebook.com/pages/Merrybet/570895252921860,https://twitter.com/Merrybetgold,"",Lagos,Lagos,Nigeria,"","Lagos, Lagos, Nigeria",sports betting & bookmaking,"","","Cloudflare DNS, ElasticEmail, Gmail, Google Apps, CloudFlare Hosting, React Redux, React, Freshdesk, SALESmanago, Facebook Custom Audiences, reCAPTCHA, Facebook Login (Connect), Google Analytics, Mobile Friendly, Facebook Widget, Google Tag Manager","","","","",3719000,"",62a3683f3963a300cb1e2e3d,"","Merrybet is a world class provider of bookmaking service.  We are hightly innovative and always provide new ways of providing sports betting entertainment to our customers.
We offer world class bookmaking service and consistently deliver an unforgettable betting experience.  

Founded in Lagos, Nigeria.  We have rapidly grown to all states of the country.","",https://zenprospect-production.s3.amazonaws.com/uploads/pictures/631bca522cdf2600010ddbcd/picture
SunBet Sports Betting,SunBet Sports Betting,Cold,"GAMBLING - 10/06/2022, bet - estudo",22,gambling & casinos,"",http://www.sunbet.co.za,http://www.linkedin.com/company/sunbet,"",https://twitter.com/SunbetSA,International Dr,Sandton,Gauteng,South Africa,2191,"International Dr, Sandton, Gauteng, South Africa, 2191","",(076) 675-0710,"","Microsoft Office 365, Microsoft Azure Hosting, Genesys, Mobile Friendly, Ruxit","","","","","","",62a3688d72bf4600cba10e73,"","Welcome to the home of online sports betting!

When it comes to sports betting, Sunbet offers an astounding online betting experience complete with sophisticated new features that include the likes of Action Bets, over 100,000 Live in-Play events and Cashout. 

Sunbet also uses the latest online security protocols to ensure that your information is strictly safeguarded against any threat. In addition Sunbet also complies with current South African Financial Intelligence Centre legislation which further makes registration on Sunbet.co.za is a safe and hassle-free process.",2010,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63232ce31cb42a000169c352/picture
soloweb NV,soloweb NV,Cold,"GAMBLING MALTA 040722, bet - estudo",120,gambling & casinos,"",http://www.queenvegas.com,http://www.linkedin.com/company/caspo-one,"","","",Velp,Gelderland,Netherlands,6881,"Velp, Gelderland, Netherlands, 6881","affiliate marketing, online gambling, customer retention, affiliate management, online casino, regulated gambling, digital casino",648377458,"Online Casino Queen Vegas. Play the best Online Casino real money games √ Roulette √ Blackjack √ Slots √ Poker, and more.","Cloudflare DNS, Rackspace Email, Freshdesk, Mobile Friendly, WordPress.org, Google Tag Manager, Google Font API, Google Analytics Ecommerce Tracking","","","","","","",62c352af85d6ef00a3745381,"","Since it established in 2011, Caspo Ltd has built a global reputation for exceptional regulated online casinos that are both thrilling entertainment and trusted, safe and secure.

Fully licensed in the UK, Sweden, Denmark, Spain and Malta, Caspo Ltd will soon add Germany and the Netherlands to its portfolio as part of its continued growth. 

Flagship brand QueenVegas.com offers an unrivalled range of the world's best i-casino games across all platforms and devices in multiple currencies. Q4 2021 has been earmarked as the launch date of a new Caspo Ltd brand. In readiness for this next exciting phase, the company is currently undergoing recruitment and offers excellent prospects and potential for new candidates.

Keen to join an online casino synonymous with excellence and transparency? Then the global team at Caspo Ltd would like to hear from you. It has a number of attractive roles across all talent areas, from design and development to sales and student intake.

Enquiries from those with a proven digital casino background and a passion for affiliate marketing are especially welcome - this is an exhilarating time to be joining one of the biggest names in online casinos world-wide as it continues on a dynamic upwards trajectory.",2011,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/62fd4463dbc8860001830efa/picture
Scatters,Scatters,Cold,"GAMBLING MALTA 040722, bet - estudo",17,gambling & casinos,"",http://www.scatters.com,http://www.linkedin.com/company/scatters,"","","",Sliema,"",Malta,"","Sliema, Malta","online casino, slots, gambling, responsible gaming, casino","","Join Scatters Casino, deposit €25 and if you don’t double it within 24 hours we will refund any losses! We have 2,000 Casino and Slot Games!","Cloudflare DNS, Gmail, Google Apps, Microsoft Office 365, CloudFlare Hosting, WordPress.org, Hotjar, Google Tag Manager, Mobile Friendly, Typekit","","","","","","",62c352af85d6ef00a3745385,"","Scatters.com was founded by a group of good friends and iGaming industry veterans.

Our aim is to have fun and to provide a safe, trustworthy and above all player-friendly site. We want to make the kind of site that we would want to play at, and we play a lot, so we think we're well placed to provide something that you'll love.

We are committed to:
- A safe, easy and fast platform to deposit, play and withdraw how and when you want to
- Maintain a friendly, personal and knowledgeable customer service
- Provide a broad slots and casino offer
- Promote responsible gaming
- Above all, we will be available for you to chat with and we promise to listen to and respond to all suggestions and feedback

When you play on Scatters you will never be tricked or duped into poor bonuses or offers. If you're a casino player then this is the place for you.

We look forward to meeting you!

Your Scatters.com team.",2019,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/631b2db22ff115000175faf8/picture
Redbet.com,Redbet.com,Cold,"GAMBLING MALTA 040722, bet - estudo",3,gambling & casinos,"",http://www.redbet.com,http://www.linkedin.com/company/redbet,https://facebook.com/Redbet,"","",Pieta,"",Malta,PTA,"Pieta, Malta, PTA","igaming, casino, poker, sports betting",'+44 19 3284 7655,Here you can play,"Amazon CloudFront, Cloudflare DNS, Route 53, Carma Mail (Compost Marketing), Zendesk, Amazon AWS, Mobile Friendly, Google Tag Manager, Multilingual, Google Analytics","","","","",7773000,"",62c3535a724f4400ca7b0ef9,3944,"What is Redbet?

Redbet Gaming Ltd. was founded in May 2002. Redbet's internet service went online in August 2004.

Following a number of changes in late 2009/early 2010, Redbet has steadily increased in market share and presence. 

In 2012 Redbet was awarded Best New Casino of the Year and Casino Manager of the Year in the Casinomeister online awards.",2002,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/5fde1062e671a2000148b630/picture
Marsbet Portugal,Marsbet Portugal,Cold,"GAMBLING MALTA 040722, bet - estudo",4,gambling & casinos,"",http://www.marsbet.com,http://www.linkedin.com/company/marsbet,"","","",Gzira,"",Malta,"","Gzira, Malta","igaming, online gaming, online casino, sports betting, games, marketing, technology, customer service, vip service, affiliate","","","Route 53, Sendgrid, Outlook, Microsoft Office 365, Zendesk, Amazon AWS, CloudFlare, React Redux, Mobile Friendly, Nginx, Google Tag Manager","","","","","","",62c353c303d0b100cb5c1f95,"","",2013,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6322ac52fd1b2600018776ea/picture
Wishmaker,Wishmaker,Cold,"GAMBLING MALTA 040722, bet - estudo",0,gambling & casinos,"",http://www.wishmaker.com,http://www.linkedin.com/company/wishmakercasino,"","",The Strand,Gzira,"",Malta,GZR,"The Strand, Gzira, Malta, GZR","casino, gamification, entertainment, startup, social gaming, creative engineering, ui, ux, marketing, igaming, online casino","","","Google Font API, Multilingual, WordPress.org, Apache, reCAPTCHA, Mobile Friendly, Ruby On Rails, Google Tag Manager","","","","","","",62c353c303d0b100cb5c1f9a,"","",2018,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/628e2f073d279b00015af9fd/picture
ChanceHill Online Casino,ChanceHill Online Casino,Cold,"GAMBLING MALTA 040722, bet - estudo",3,gambling & casinos,"",http://www.chancehill.com,http://www.linkedin.com/company/chancehill-casino,"","",Triq l-Imradd,Ta' Xbiex,"",Malta,XBX,"Triq l-Imradd, Ta' Xbiex, Malta, XBX","optimized for mobile, licensed in malta & uk, user friendly, customer support, secure deposits & withdrawals, design","","","GoDaddy Hosting, Gmail, Google Apps, Apache","","","","","","",62c3564fca4c9100caaa04de,"","Chance Hill was launched in late 2015 by a group of young gaming enthusiasts in Madrid. In the context of technologic innovation, Chance Hill provides a flawless online experience.

In March 2017 Chance Hill was acquired by a group of Scandinavians who have a long proven track record of operating online casinos. 

The goal is to create a  user friendly online casino with great customer support and a unique gaming experience. 

The new owners have implemented amazing customer service,  generous offers, and doubled the number of slots and games on the site.",2015,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/630c7178604a690001e0349c/picture
