,company_name,description,href,full_complain
0,betano,"Solicitei dois saque que está pendente , entrei em contato ontem e deram o prazo de 24 para aprovação e 1 para depositar na minha ",nao-pagaram-minha-solicitacao-de-saque_F4x9K8xhiMLpfDuR,"Solicitei dois saque que está pendente , entrei em contato ontem e deram o prazo de 24 para aprovação e 1 para depositar na minha conta , o atendente confirmou que assim que chegar o prazo já cairia na conta ,  o prazo já passou e até agora nada  tento entrar em contato é só mensagem automática. Não tenho retorno sobre , não tem atendente que responde , meu dinheiro tá lá preso . Na hora de depósito via pix cai na hora agora pro saque essa enrolação . Gostaria de retorno sobre minha situação , e principalmente que meu problema fosse resolvido quanto antes . "
1,betano,"Fiz uma aposta no jogo do América mg x Coritiba. Coloquei que iria ter mais de 4,5 cartões e no jogo teve 5, porém a plataforma de",ganhei-mais-nao-fui-pago_ZjA3MMKXw2-AlRfd,"Fiz uma aposta no jogo do América mg x Coritiba. Coloquei que iria ter mais de 4,5 cartões e no jogo teve 5, porém a plataforma deu como perdido a minha aposta. "
2,betano,"Bom dia , estou tentando realizar um saque na Betano e não estou conseguindo, tentei sacar 1.000 reais via Pix da minha conta Beta",saque--betano_6z3PW9VTAPwGbsy1,"Bom dia , estou tentando realizar um saque na Betano e não estou conseguindo, tentei sacar 1.000 reais via Pix da minha conta Betano que os mesmos dizem está processando e até o momento nada.O pior que este valor nem aparece mais para mim em meu saldo da plataforma.Lendo os regulamentos de saque via Pix da plataforma eles teriam no máximo 1Hora para fazer o depósito via pix para o cliente , e já se passaram quase 24Horas e nada .Já mandei e-mail, tentei falar no chat , e tmb nada.Isto é uma falta de respeito imensa com os clientes, desse jeito não dá.Por favor tem como vcs do reclame aqui, me ajudarem com está situação.At.. Alciole"
3,betano,"Bom dia, ontem a noite fiz uma aposta de 3,00 reais para parar no 1.34  O avião subiu bem mais que isso, eu ganhei, mas o sa",fiz-uma-aposta-ganhei-mas-o-saldo-nao-foi-atualizado_IGGapbjwWTjtrvA8,"Bom dia, ontem a noite fiz uma aposta de 3,00 reais para parar no 1.34  O avião subiu bem mais que isso, eu ganhei, mas o saldo não atualizou! Peço atualização do meu saldo. Grata."
4,betano,"Tentei realizar o saque do meu dinheiro que está na conta da Betano desde a última sexta-feira dia 02 de setembro, e então o pedid",transacao-em-saque_y-Koew3Ibb0YUo_m,"Tentei realizar o saque do meu dinheiro que está na conta da Betano desde a última sexta-feira dia 02 de setembro, e então o pedido continua em uma eterna análise.Entrei em contato pelo chat, e a resposta que tive foi que até uma hora o caso era resolvido, mas caso não fosse, teria que entrar em contato novamente, entre e foi a mesma conversa.Isso é algo que infelizmente desmotiva nós usuários da plataforma, pois no momento que vamos fazer algum depósito tudo ocorre de maneira tão fácil."
5,betano,Ganhei a aposta depois ele colocou um Red cancelei o saque para fazer outra aposta mais eles pegou meu dinheiro 4.346 reais ,ganhei-a-aposta-depois-eles-deu-como-perca_DRfLC5RD1NhwpRMN,Ganhei a aposta depois ele colocou um Red cancelei o saque para fazer outra aposta mais eles pegou meu dinheiro 4.346 reais 
6,betano,"A quase uma semana estou tentando fazer um saque, aí pediram meus documentos para autenticação no qual mandei tudo certo e eles fi",problemas-de-autenticado-de-conta_pELbDR8BD_GaCcQD,"A quase uma semana estou tentando fazer um saque, aí pediram meus documentos para autenticação no qual mandei tudo certo e eles ficam rejeitando, agora bloquearam minha conta, não consigo mais fazer nenhuma aposta e meu dinheiro está travado lá, Betano já foi melhor um dia "
7,betano,"Bem, estou morando em casa de aluguel e o nome do comprovante de energia está no antigo dono. Para fazer a validado de identificaç",nao-estou-conseguindo-fazer-o-processo-de-verificacao-de-id_f9-A_PINpydUr2Ja,"Bem, estou morando em casa de aluguel e o nome do comprovante de energia está no antigo dono. Para fazer a validado de identificação precisa do comprovante com o meu nome, porém estou precisando fazer essa validação e o processo de troca de titularidade irá demorar bastante. Espero que a equipe de profissionais da Betano possa entrar em contato comigo para resolver isso o quanto antes."
8,betano,"OiO motivo do meu contato é sobre o bônus de boas vindas que recebi, ocorreu tudo certo..Depositei 50 reais, recebi 50",conclui-mas-nao-recebi-bonus-de-boas-vindas_m4yCakCH-aiUrExg,"OiO motivo do meu contato é sobre o bônus de boas vindas que recebi, ocorreu tudo certo..Depositei 50 reais, recebi 50 de bônus e mais uma meta pra completar com apostas no valor total de 500 reais..Então eu completei tal missão de boas vindas em menos de 30 dias e respeitei todos requisitos..aparece no meu perfil da Betano em ""promoções expiradas"", a tal missão completada mas valor já faz 3 dias que completei e não entrou em minha conta.Já mandei email pra Betano várias vezes mas nem um retorno com posição fixa então ..Eu quero saber oq acontece agora, se é enganação ?Se realmente irei receber tal valor ?Quanto tempo ?Somente isso. Resto tudo mais site Betano é uma excelente plataforma.Agradeço pela atenção.Aguardo resposta."
9,betano,"Já tem algum tempo que jogo na Betano, mas confesso que estou para parar, depois que comecei ter alguns lucros eles estão demorand",saque-pix-enrolado_7e-JxmJS8bRGl1a-,"Já tem algum tempo que jogo na Betano, mas confesso que estou para parar, depois que comecei ter alguns lucros eles estão demorando bastante pra depositar o saque via pix na minha conta, coisa que antes não demorava 30 minutos, vou voltar pra bet365 e a 1xbet que tb são boas e pagam no prazo estipulado "
10,betano,"Então, tentei realizar um saque de uma aposta ganha na betano e pra minha surpresa pediram que eu enviasse documentos pessoais e c",saque-nao-realizado_vUrzd1n-qXrCNaor,"Então, tentei realizar um saque de uma aposta ganha na betano e pra minha surpresa pediram que eu enviasse documentos pessoais e comprovantes de residência em meu nome.Enviei por inúmeras vezes e todos sendo rejeitados, não sei mais o que fazer.Espero um retorno pois pra depositar eles aceitam na hora, porém pra sacar ele fazem isso. "
11,betano,"Apostei mais de 4.5 cartões no jogo América x Curitiba e deu 6 cartões,  eu ganhei a múltipla e deu como não ganho. Final do jogo ",apostei-mais-de-45-cartoes-no-jogo-america-x-curitiba-e-deu-6-cartoes-ganhei_D-YsbYCjPkKkqDg6,"Apostei mais de 4.5 cartões no jogo América x Curitiba e deu 6 cartões,  eu ganhei a múltipla e deu como não ganho. Final do jogo como podem ver foram 6 cartões e apostei que iria dar mais de 4.5 e acertei. Seguem os prints!!!! Quero meu dinheiro seus espertos. "
12,betano,A dias estou tentando desbloquear a conta minha porem sem sucesso algum...ja enviei varios emails ninguem resolveu nada..e a conta,conta-bloqueada_Q2LIUyxFV6-uVxeL,A dias estou tentando desbloquear a conta minha porem sem sucesso algum...ja enviei varios emails ninguem resolveu nada..e a conta continua bloqueada constando meu cadastro e dados de documentos 
13,betano,"Fiz um depósito de 50, ganhei o bônus, zerei a conta. Fiz mais um depósito, cancelei o bônus e pedi saque. Eles não cancelam meu s",fiz-um-saque-em-pix-e-mais-de-24-hrs-que-nao-caiu_yzT8qm9L-zf8ijQO,"Fiz um depósito de 50, ganhei o bônus, zerei a conta. Fiz mais um depósito, cancelei o bônus e pedi saque. Eles não cancelam meu saque e nem me pagam. Eu quero resposta, chat ao vivo uma merda "
14,betano,"Fiz a conta e depósito, consegui fazer algumas apostas, depois não consegui mais entrar,fica dando erro de conexão. Quero meu dinh",erro-de-conexao_QP8F5OYqMHUYot7r,"Fiz a conta e depósito, consegui fazer algumas apostas, depois não consegui mais entrar,fica dando erro de conexão. Quero meu dinheiro q tá na conta."
15,betano,"Realizei várias apostas, ganhei algumas e perdi outras, é um jogo eu entendo, mas o que não entendo é eles prometeram fazer o pix ",empresa-nao-faz-a-devolucao-de-meu-dinheiro_plscV26ICYBCIoTW,"Realizei várias apostas, ganhei algumas e perdi outras, é um jogo eu entendo, mas o que não entendo é eles prometeram fazer o pix em até 24 horas e já são 3 dias e não devolvem meu dinheiro. Tento falar pelo chat on-line e não consigo relatar minha necessidade, pois lidamos com robô, eu envio e-mail, o que me solicitam eu faço mas não tenho retorno, sempre pedem algo diferente, eu faço, mas até o momento sem meu dinheiro."
16,betano,"Fiz uma aposta hoje no psg, em cartões, saiu 6 cartões no jogo coloquei que sairia menos de 6.5, e deram como perdida está aposta!",aposta_dg0BAsyw5e1-58NI,"Fiz uma aposta hoje no psg, em cartões, saiu 6 cartões no jogo coloquei que sairia menos de 6.5, e deram como perdida está aposta! "
17,betano,Pedi o saque ontem dia 02/09 e até agora nada.Agora pra deposito entra na hora.Chega de betano. ,24-horas-sem-saque_WFCdv0vslpSXPFE2,Pedi o saque ontem dia 02/09 e até agora nada.Agora pra deposito entra na hora.Chega de betano. 
18,betano,Saque não é real do eles prometem,saque_05yNgQ4lTJ2Y1_mk,Saque não é real do eles prometem
19,betano,Fiz uma múltipla de 6 jogos.E em um desses jogos coloquei Neymar fazendo Gol a qualquer momento.Quando eu vii que o Ne,betano-nao-deixou-eu-cancelar_muLb7-rtSVdJyRrp,Fiz uma múltipla de 6 jogos.E em um desses jogos coloquei Neymar fazendo Gol a qualquer momento.Quando eu vii que o Neymar não estava jogando tentei cancelar o jogo porque os outros 5 jogos já havia batido.E o aplicativo não deixou eu estar cancelando o jogo.Neymar entrou nos 65 minutos de jogo.
20,betano,Fiz uma múltipla de 6 jogos.E em um desses jogos coloquei Neymar fazendo Gol a qualquer momento.Quando eu vii que o Ne,betano-nao-deixou-eu-cancelar_muLb7-rtSVdJyRrp,Fiz uma múltipla de 6 jogos.E em um desses jogos coloquei Neymar fazendo Gol a qualquer momento.Quando eu vii que o Neymar não estava jogando tentei cancelar o jogo porque os outros 5 jogos já havia batido.E o aplicativo não deixou eu estar cancelando o jogo.Neymar entrou nos 65 minutos de jogo.
21,betano,"Quando fiz depósito cai na mesma hora pelo pix e quando vou sacar além de não ser tão rápido via pix,eles informam o prazo de 1 ho",nao-efetuam-o-meu-saque_xMM1HW-ds1JytP_Q,"Quando fiz depósito cai na mesma hora pelo pix e quando vou sacar além de não ser tão rápido via pix,eles informam o prazo de 1 hora,já faz mais de 3 horas q solicitei o saque e até agora nada.Aguardo uma solução imediata,porque isso é um absurdo.Não hora de depositar na conta deles entra rápido e não hora de sacar pra minha conta não cumprem com o regulamento da empresa que dá prazo máximo de 1 hora."
22,betano,"Minha Internet funcionando, Wi-Fi tbm. Mas chega uma mensagem de erro de conexão,  e não consigo meu acesso, nem com a biometria",erro-ao-fazer-login_FPZUPUduEfOkPeIB,"Minha Internet funcionando, Wi-Fi tbm. Mas chega uma mensagem de erro de conexão,  e não consigo meu acesso, nem com a biometria"
23,betano,"Realizei um depósito via pix na conta Betano, porem o valor não foi creditado. Entrei em contato com o suporte, o mesmo solicitou ",deposito_3QgyrGOnf2whZG_2,"Realizei um depósito via pix na conta Betano, porem o valor não foi creditado. Entrei em contato com o suporte, o mesmo solicitou o envio do comprovante do depósito.  Mesmo assim o problema não foi resolvido."
24,betano,"Indiquei um amigo e ele fez a conta e recarregou, mais n recebi a aposta grátis ",indique-o-amigo_YkfGFjg--ia1Fhbs,"Indiquei um amigo e ele fez a conta e recarregou, mais n recebi a aposta grátis "
25,betano,"Boa tarde!Fiz uma múltipla com alguns times 1 coloquei dupla chance vcs não me pagaram, não consigo resolver no chat .",nao-pagou-minha-aposta_tNVvJyP65QYFX02O,"Boa tarde!Fiz uma múltipla com alguns times 1 coloquei dupla chance vcs não me pagaram, não consigo resolver no chat .Foi no jogo do Liverpool "
26,betano,"Hj no jogo do campeonato inglês na aposta de canto dos 10:00 as 19:59 deu como perdida , eu vendo o jogo ao vivo , como já acontec",aposta-de-canto-deu-como-perdida_SDc2IfnbgtdHTVW-,"Hj no jogo do campeonato inglês na aposta de canto dos 10:00 as 19:59 deu como perdida , eu vendo o jogo ao vivo , como já aconteceu gravei o lance no minuto 19 até 20 para ver se saia escanteio e aconteceu. porém novamente a Betano deu como perdido .enviei o vídeo da partida para o suporte e me informaram que nos dados oficiais o canto ocorreu aos 20 minutos !"
27,betano,Um amigo fez um pix atravez da conta bancaria dele e eu nao sabia que so poderia ser feito de conta do mesmo CPF. a questão é que ,pix-nao-foi-creditado-na-conta-betano-e-nem-estornado-para-a-conta-bancaria_11msIIRpUsZ-SceS,"Um amigo fez um pix atravez da conta bancaria dele e eu nao sabia que so poderia ser feito de conta do mesmo CPF. a questão é que até o presente momento  o valor nem foi estornado e nem creditado na minha conta Betano.O que ocorreu é que nao foi feito da conta com o mesmo CPF, porem ainda nao foi estornado.todas as vezes que entro em contato com o suporte, a mensagem de resposta é a mesma e limitada, ou seja sem continuidade e sem solução. "
28,betano,Estou fazendo uma reclamação aqui pois não estou conseguindo fazer login de maneira alguma em minha conta da Betânia a mais de 1 m,nao-consigo-fazer-login_ISVYcgWTfzkDI6Ds,Estou fazendo uma reclamação aqui pois não estou conseguindo fazer login de maneira alguma em minha conta da Betânia a mais de 1 mês ninguém me responde por email ninguém resolve ninguém responde no chat então vim aqui pq talvez através dessa ferramenta talvez eles resolvam logo
29,betano,"Não consigo logar. Já reiniciei, minha internet é top. E fala que dá problema de conexão. ",entrar-na-conta_Nfg1IVhlYkZ8I7sb,"Não consigo logar. Já reiniciei, minha internet é top. E fala que dá problema de conexão. "
30,betano,"Sempre dá problema a betano, e sempre ficamos no prejuízo porque perdemos o controle sobre nossas apostas, nem se quer dão satisfa",app-e-site-um-lixo_yTzGr7RHLF4pBfwP,"Sempre dá problema a betano, e sempre ficamos no prejuízo porque perdemos o controle sobre nossas apostas, nem se quer dão satisfação do que acontece, app e site um lixo, muito lento, bugs todo dia, de ontem pra hoje  toda hora sai da conta daí tem que desinstalar e instalar denovo pra funcionar, passa 30 minutos acontece tudo denovo, como pode existir uma plataforma two ruim assim ?"
