,company_name,description,href,full_complain
0,betmotion,"Realizei o auto bloqueio faz uns 15 dias, pela regra teria que ficar por 30 dias, cai na besteira de pedir o desbloqueio através d",nao-respeitam-o-auto-bloqueio_jk5seTi84bzrsf6I,"Realizei o auto bloqueio faz uns 15 dias, pela regra teria que ficar por 30 dias, cai na besteira de pedir o desbloqueio através do chat, gastei em torno de R$ 1500,00 em depósitos, resultou que não ganhei nada.Não deveriam ter desbloqueado, infringiram as regras."
1,betmotion,"Hoje fiz o cadastro na plataforma betmotion e fiz um deposito, a partir disso fiz apostas em jogos no período da tarde, utilizei d",plataforma-faz-cashout-sozinha-e-lesa-os-clientes_q2TPvZzSeaQiSSkn,"Hoje fiz o cadastro na plataforma betmotion e fiz um deposito, a partir disso fiz apostas em jogos no período da tarde, utilizei do bonus para fazer uma aposta e até ai tudo ok, no meio do andamento dos jogos resolvi dar cashout na aposta, cashout disponivel no valor de 110$, confirmei o cashout e mesmo assim não foi feito o cashout (mesmo disponivel) após isso fui fazer outras coisas e quando retornei a plataforma para acompanhar as apostas percebi que havia sido feito um cashout a poucos minutos do final dos jogos, cashout feito pela própria plataforma, pois o cashout confirmado por mim não foi concluido, quase 1 hora depois a plataforma fecha a aposta sozinha. Entrei em contato com suporte e expliquei o caso, recebi como resposta que a plataforma estava ok, então como foi feito esse cashout? fui [Editado pelo Reclame Aqui] pela plataforma, a partir desse ocorrido decidi encerrar minha conta na plataforma pois ela não passa confiança e o suporte certamente não irá resolver essa questão e devolver o dinheiro correto do cashout que fiz ou manter a aposta como estava sem o cashout que foi feito, agora um cashout aleatório em um valor pífio e inaceitável, assim como disse ao suporte, em 24 horas entrarei com um processo contra a mesma.   "
2,betmotion,"Então a um tempo atrás vim aqui reclamei e fui respondida achava q não era real as pessoas no bingo, achava q era bot,enfim , de u",fui-paga-e-vi-que-nao-a-editado-pelo-reclame-aqui-no-bingo_PCcgiN91d17FzpM8,"Então a um tempo atrás vim aqui reclamei e fui respondida achava q não era real as pessoas no bingo, achava q era bot,enfim , de uns dias pra cá comecei a ganhar muito no bingo a sorte virou, então esperei o saque cair pra vir aqui e pedir desculpas a empresa publicamente,hj acredito e confio no betimotion e indico várias pessoas! Betimotion vc estão de parabéns ela transparência!!!!Único lugar q consegui fazer saque real e valores acima de 1000!"
3,betmotion,"Fujam desse site,os jogos de bingo e vídeo bingo são 100% manipulados, já pedi para eles excluírem minha conta eles não excluem. N",jogo-manipulado_fRnawu5mmXvob9Ie,"Fujam desse site,os jogos de bingo e vídeo bingo são 100% manipulados, já pedi para eles excluírem minha conta eles não excluem. Não gastem seu dinheiro nessa casa de apostas [Editado pelo Reclame Aqui],existem muitas outras melhores para apostas esportivas. "
4,betmotion,"Galera, não entre nesse jogo já tem um tempo que jogo no bingo, porém só bate os [Editado pelo Reclame Aqui] ( sorteplena520, Renatinha, Paracatu, pitu",varios-editado-pelo-reclame-aqui-no-bingo_bu8-TOSRwfHDnV8l,"Galera, não entre nesse jogo já tem um tempo que jogo no bingo, porém só bate os [Editado pelo Reclame Aqui] ( sorteplena520, Renatinha, Paracatu, pituzinho,madoninha) entre outros. Detalhe em todas as salas ao mesmo tempo é incrível isso. Sinceramente já tem 3 meses que jogo e é dinheiro jogado fora não existe muita lealdade. Pro bem de vocês nem entre pq é tudo enganação. Já coloquei mais de 500 reais e sempre os mesmos andei reparando atualmente isso. Não confiem. Vocês deriam ser justo e mais se a pessoa fala no chat tem possibilidade de ganhar se não sem chance kkkk enfim tô apenas alertando a galera.  "
5,betmotion,"eles não pagam os clientes, higorsantos1763@gmail.com é administrador de grupos de divlgação de casas de apostas, e esta divulgand",nao-caiam-nessa-eles-nao-pagam_02jrlI9E4Wz-q_Uy,"eles não pagam os clientes, higorsantos1763@gmail.com é administrador de grupos de divlgação de casas de apostas, e esta divulgando tudo oq essa casa fez com ele, ELES NÃO PAGAM OS CLIENTES, É SO OLHAREM A QUANTIDADE DE RECLAMAÇOES AQUI NO RECLAME AQUINÃO CAIAM NESSA, ELES NÃO PAGAM"
6,betmotion,"ELES NÃO PAGAM ELES BLOQUEIAM A CONTA DOS CLIENTES PARA NÃO PAGAR A ELES, ACONTECEU ISSO COM higorsantos1763@gmail.com, ELE É DONO",nao-pagam_7P_9pfgcicyE7qF4,"ELES NÃO PAGAM ELES BLOQUEIAM A CONTA DOS CLIENTES PARA NÃO PAGAR A ELES, ACONTECEU ISSO COM higorsantos1763@gmail.com, ELE É DONO DE GRUPOS DE APOSTAS E TA DIVULGANDO TUDO NOS GRUPOS"
7,betmotion,"Eles não estão pagando Tenham cuidado essa casa não paga, aconteceu isso com higorsantos1763@gmail.com teve sua conta bloqueada al",eles-nao-estao-pagando_mX441gPD--Ox3-hh,"Eles não estão pagando Tenham cuidado essa casa não paga, aconteceu isso com higorsantos1763@gmail.com teve sua conta bloqueada alegando coisas que não são verdades.CUIDADO QUANDO VC PEDE SAQUE ELES BLOQUEIAM A CONTA"
8,betmotion,"CUIDADO, NÃO PAGAM eles estão alegando coisas para não pagar aos clientes, higorsantos1763@gmail.com , cliente deles amigo meu e d",cuidado-nao-pagam_yiPbKWozxkmbv-lm,"CUIDADO, NÃO PAGAM eles estão alegando coisas para não pagar aos clientes, higorsantos1763@gmail.com , cliente deles amigo meu e dono de grupos de apostas teve sua conta bloqueada e ate o presente momento sem respostastenham cuidado"
9,betmotion,MAXIMO DE CUIDADO COM ESSA CASAELES ESTÃO BLOQUEANDO A CONTA DO POVO PARA ELES N PODEREM SACARhigorsantos1763@gmail.co,nao-pagam-os-clientes_r3XHjF_agGFvyXhz,MAXIMO DE CUIDADO COM ESSA CASAELES ESTÃO BLOQUEANDO A CONTA DO POVO PARA ELES N PODEREM SACARhigorsantos1763@gmail.com DONO DE GRUPOS DE APOSTAS DIVULGOU E MOSTROU Q ELES ESTÃO FAZENDO ISSO
10,betmotion,els bloqueiam as contas dos clientes sem motivo algum o higorsantos1763@gmail.com é dono de grupo de apostas esportiva e publicou ,nao-pagam_foHzY5T4NWwDz1Dr,els bloqueiam as contas dos clientes sem motivo algum o higorsantos1763@gmail.com é dono de grupo de apostas esportiva e publicou tudo oq eles vem fazendo com ele.
11,betmotion,"tive minha conta bloqueada por essa empresa sem respeito, eles alegaram que meu comprovante dee endereço tava inregular, sendo que",nao-pagam_TkKIhw4Y2LeH5BUM,"tive minha conta bloqueada por essa empresa sem respeito, eles alegaram que meu comprovante dee endereço tava inregular, sendo que é impossivel isso uma vez que eu recebo essas cobranças por correio, é um absurdo isso, eles fizeram isso depois que eu solicitei saque na conta, ou seja percebe-se onde esta o problema na cas, se voce pedir saque eles bloqueiam sua conta e inventam coisas para não te pagar.eu estou divulgando tudo nos meus grupos de telegram e ehats e vou solicitar q outras pessoas venham ate aqui e façam novas reclamaçoes sobre voces. outras pessoas tem q saber a casa sem credibilidade que voces são"
12,betmotion,Eles bloquearam a conta de higorsantos1763@gmail.com dono de um dos maiores grupos do telegram de divulgaçao de casas de apostas,cuidadoooo_lL3-e4t6vYAByVd2,"Eles bloquearam a conta de higorsantos1763@gmail.com dono de um dos maiores grupos do telegram de divulgaçao de casas de apostastenham o maximo de cuidado com essa casa eles bloqueiam sua conta antes de vc sacarNOTA 0 PARA ESSA CASA, PELO FATO DE ME PAGAREM UM SAQUE QUEREM JUSTIFICAR OS ERROS DELAS, EU FUI UM FELISZARDO, UM SORTUDO, OLHE QUANTAS RECLAMAÇOES DE VOCES NOS GRUPOS DE WHATS E DO TELEGRAM, VOCES ESTÃO SENDO DIVULGADOS DE FORMA BASTANTE NEGATIVA"
13,betmotion,MAXIMO DE CUIDADO COM ESSA CASAELES ESTÃO BLOQUEANDO A CONTA DO POVO PARA ELES N PODEREM SACARhigorsantos1763@gmail.co,maximo-de-cuidado-com-essa-casa_9xT973TDYtjFaSgO,MAXIMO DE CUIDADO COM ESSA CASAELES ESTÃO BLOQUEANDO A CONTA DO POVO PARA ELES N PODEREM SACARhigorsantos1763@gmail.com DONO DE GRUPOS DE APOSTAS DIVULGOU E MOSTROU Q ELES ESTÃO FAZENDO ISSO
14,betmotion,"A CASA BLOQUEIA A CONTA DOS CLIENTES PARA NÃO PAGAR OS GANHOS, um amigo meu e administrador e divulgador de grupos de apostas teve",nao-paga_emha8VaBgfQalzAR,"A CASA BLOQUEIA A CONTA DOS CLIENTES PARA NÃO PAGAR OS GANHOS, um amigo meu e administrador e divulgador de grupos de apostas teve sua conta bloqueada, ele tem grupos no whats e no telegram onde divulga as casas de aposta, ele ta mostrando tudo oq a betmotion ta fazendo com ele, bloqueou uma conta dele de 3000 reais alegando inregularidade em seu comrpovante, o email dele é: higorsantos1763@gmail.com"
15,betmotion,fiz vários depósitos na batmotion tudo ok quando vó sacar o primeiro prêmio aí bloquearam falaram q tinha duas contas e só vão faz,conta-bloqueada_U6oELrASBui5IDmJ,fiz vários depósitos na batmotion tudo ok quando vó sacar o primeiro prêmio aí bloquearam falaram q tinha duas contas e só vão fazer o estorno do último depósito porque na hora de nós depositar tá tudo ok agora quando ganhar algum prêmio bloquearam então devolve todos os depósitos tem que junta várias pessoas para entrar com um processo 
16,betmotion,"Fiz o envio de documentos conforme a empresa solicita. A própria betmotion classifica quais são os modelos de documentos aceitos, ",bloqueio-indevido-de-conta_kpWa6JhNRw2OY2tN,"Fiz o envio de documentos conforme a empresa solicita. A própria betmotion classifica quais são os modelos de documentos aceitos, enel e sabesp, por exemplo. Enviei selfie, documento e comprovante de luz (enel), negaram e me solicitaram de água, pois bem, enviei e a conta foi VALIDADA. Bloquearam a conta solicitando documentação de novo, enviei. Achei que resolveria por ai, solicitaram novamente o de luz, enviei.No período em que aguardava retorno, recebo um email informando que minha conta seguirá bloqueada por documento adulterado. Oi???? Quer dizer que, seguindo os termos e as solicitações, simplesmente tenho a conta bloqueada? Não faz sentido. Não existem chances de documento adulterado. Enviei tudo conforme solicitado e vocês nessa tiração. Virou rotina agir assim com os clientes? Dar p trás na hora de pagar? Quero meu dinheiro ou vou recorrer de outras formas!!! Absurdo isso. "
17,betmotion,"Olá,Atuo há anos no ramo de apostas esportivas. Decidi então criar uma conta e começar a utilizar a plataforma Betmoti",exigencia-de-rollover-indevida-10x-enquanto-era-para-ser-5x_hzzXFTfdwiu14XNG,"Olá,Atuo há anos no ramo de apostas esportivas. Decidi então criar uma conta e começar a utilizar a plataforma Betmotion! No ""Termos e Condições Gerais das Promoções"" da plataforma Betmotion! sobre regulamento para promoções, item 4, parágrafo 1, consta uma exigência de Rollover de 5 vezes de bonus de sportes com odds mínimas de 1.50.No dia 29/07/2022, realizei o depósito no valor de R$250,00 na plataforma. A partir de então comecei a utilizar o saldo, e a contar o Rollover. No dia 08/08/2022, eu já havia completado o total de R$1.410,00 em giros do saldo considerando apenas as odds mínimas de 1.50, ou seja, já ultrapassando o Rollover exigido de 5 vezes do meu saldo de bônus (R$1.250). Porém o site começou a cobrar o Rollover de 10 VEZES, valor incorreto, que não consta em nenhuma comunicação de promoções. Devendo ter sido de 5 vezes.Desde então venho utilizando a plataforma Betmotion! normalmente mesmo assim, relevando este fato, pois imaginei que vocês iriam corrigir posteriormente. Porém, na data de hoje, me surpreendo com o seguinte: após o meu saldo ter atingido R$1.654,91, após haver movimentado mais de R$2.500,00 na plataforma (10 vezes de Rollover), o meu saldo que era de R$1.654,91 simplesmente foi reduzido automaticamente a R$1.250,00. Ou seja, foi REMOVIDO do meu saldo a quantia de R$404,91 INDEVIDAMENTE.Solicito a análise e ressarcimento desta cobrança indevida.Meu nome de usuário na plataforma: soupedropauloAtt.,Pedro Paulo Amorim"
18,betmotion,"Boa tarde, eu e minha esposa fizemos uma conta da BETMOTION até aqui tudo bem, porém na hora de cadastrar os CPF não percebemos o ",bloqueio-de-conta-indevidamente_--vXOpp4vDv8q0-Z,"Boa tarde, eu e minha esposa fizemos uma conta da BETMOTION até aqui tudo bem, porém na hora de cadastrar os CPF não percebemos o erro e os QUE O CPF DELA FOI POR MEU PERFIL E O MEU PARA O DELA, daí  conforme conforme o regimento da empresa assim que verificando o problema reposta a BETMOTION por meu dos agentes do Chat para fazer as alterações. Daí veio a dor de cabeça, enviamos todos os documentos via chat ao atendente, meu e da minha esposa pra regularizar os nossos login, onde foram feito depósito e saldo em conta pra saque e nossa conta foi bloqueada, mesmo comprovando o que rege o regulamento interno da empresa.. Tenho 2 mil reais de saldo pra saca e joga porém estou sendo impossibilitado, mesmo tendo comprovando legalmente pra documentos probatório solicitado pelo agente que nos confirmou que o caso seria regularizado em 24 horas. e aí recebo no meu e-mail que a conta foi bloqueada, tenho prova de tudo que foi passado no chat envio de documentação e toda conversa que tive com atendente o qual falou que iria ser resolvido.. Espero que resolvam a situação, senão irei acionar a justiça.. Quando é pra depositar e fazer com que jogamos e show agora pra pagar é uma dificuldade chegando até bloquear o usuário."
