,company_name,description,href,full_complain
0,betnacional,Esqueci minha senha ,esqueci-minha-senha_KSWENoZDNQZ59dRB,Esqueci minha senha 
1,betnacional,Fiz um depósito de 300 reais no betnacional ao invés de 30 reais .Consigo sacar esse dinheiro?,deposito-errado_mdFFdRKYiA4WVlTz,Fiz um depósito de 300 reais no betnacional ao invés de 30 reais .Consigo sacar esse dinheiro?
2,betnacional,Confirmação da Aposta - NS8201411347451614  Hora da Aposta: 03/09/2022Fiz uma aposto no jogo de hoje ( 03/09/2022 )  &,betnacional-deu-como-perdida-uma-vitoria-e-pegou-80-reais_N99Ul8j8REuBb82p,"Confirmação da Aposta - NS8201411347451614  Hora da Aposta: 03/09/2022Fiz uma aposto no jogo de hoje ( 03/09/2022 )  ""Menos de 6.5 FC Nantes v Paris St. Germain (Cartão - Total de Cartões) 03/09/2022 Futebol 1.40 Perdida"", no jogo teve um total de 6 cartões, informação dada pela própria BET, GOOGLE e outras fontes de informações de jogo, porem esta como perdida, poderiam analisar por favor, coloquei 80 reais  Usuário :KKKTO"
3,betnacional,"Eu fiz uma aposta no jogo Brentford vs leeds onde o mercado que coloquem foi mais +8,5.O jogo terminou com 9 escanteios a be",escanteio-mais-de-85_1wgb42N9nTU8KUaW,"Eu fiz uma aposta no jogo Brentford vs leeds onde o mercado que coloquem foi mais +8,5.O jogo terminou com 9 escanteios a betnacional deu com perdida a minha aposta !Fui reclamar com um atendente eu disseram que o que vale e o que a casa de aposta.(betnacional) determinou Eu falei ok vou tomar minhas providencia"
4,betnacional,"Ganhei uma aposta solicitei o saque no valor de R$ 70,00 reais e não me pagaram.. Acionei o suporte que não resolve nada!!!",ganhei-aposta-e-nao-me-pagou_s4teBmeqeelyEnKq,"Ganhei uma aposta solicitei o saque no valor de R$ 70,00 reais e não me pagaram.. Acionei o suporte que não resolve nada!!!"
5,betnacional,"Ganhei a aposta NS8854402027708086 e não depositaram meu dinheiro, total desrespeito com quem faz aposta confiando no aplicativo.",insatisfacao_Gh2BkRcv4tUf7vq6,"Ganhei a aposta NS8854402027708086 e não depositaram meu dinheiro, total desrespeito com quem faz aposta confiando no aplicativo."
6,betnacional,"Estou tentando efetuar um saque , desde o dia 31/08/2022 e até o presente momento 01/09/2022 a resposta é a mesma , que o saque e ",nao-consigo-realizar-saque_T8zySXDyS-SsBhWb,"Estou tentando efetuar um saque , desde o dia 31/08/2022 e até o presente momento 01/09/2022 a resposta é a mesma , que o saque e despeito estão com problemas , sendo que o depósito e apostas estão sendo realizados normalmente , somente estão bloqueando saque e até o presente momento não consigo fazer a retirada do meu dinheiro ."
7,betnacional,"Boa tarde!No dia 30 de agosto de 2022 eu acabei fazendo um saque na conta da betnacional de 24 reais, Nisso apareceu a segu",boa-tarde_NegYr7jl5beDPWxZ," Boa tarde!No dia 30 de agosto de 2022 eu acabei fazendo um saque na conta da betnacional de 24 reais, Nisso apareceu a seguinte mensagem: Solicitação de saque realizado com sucesso e abaixo a seguinte mensagem: É obrigatório que o titular da conta de destino do saque seja igual ao titular da conta na betnacional, não será efetuado o saque para titulares diferentes, só que a pessoa que eu acabei fazendo  o saque(pix), não possui conta na betnacional e o valor não voltou pra minha conta. OBS: FOI UM SAQUE DE 24 REAIS  E ATÉ AGORA NADA!"
8,betnacional,Não consigo fazer o saque do meu saldo na casa de Aposta Bet Nacional. estou muito preocupado. ja tentei vários vezes contat,saque-bloqueado_5wVOob9M7cKR_h9r,Não consigo fazer o saque do meu saldo na casa de Aposta Bet Nacional. estou muito preocupado. ja tentei vários vezes contato com o suporte mais não fui nem atendido
10,betnacional,"Encerraram minha aposta, não estava nem na página pra encerrar estava vendo os jogos no ao vivo quando voltei deu aposta encerrada",aposta-encerrada-indevidamente_2eH_MwaQ9JvmNmJ5,
11,betnacional,"Tento entrar com meu e-mail e senha e diz que a senha está errada, já tentei trocar a senha, entro com a senha nova que troquei e ",nao-consigo-acesso-a-minha-conta_Zi0iSRufzrEbf195,"Encerraram minha aposta, não estava nem na página pra encerrar estava vendo os jogos no ao vivo quando voltei deu aposta encerrada indevidamente, não encerro minhas apostas sempre vou até o fim, muita covardia isso, estou indignado, gostaria muito de uma posição da empresa, isso não se faz."
12,betnacional,"Não fiz aposta aos 93 min de dupla hipótese,por fovor devolva o dinheiro pode confirmar essa aposta",grande-engano_VWuJWyUz6WirjRax,"Tento entrar com meu e-mail e senha e diz que a senha está errada, já tentei trocar a senha, entro com a senha nova que troquei e mesmo assim dá erro da senha. Já começo a duvidar da confiabilidade do site. Aguardo retorno para solução do problema."
13,betnacional,"Prezados,A betnacional pode mandar todos os atendentes do chat embora, pois eles não servem para nada! Não sabem de na",amadorismo-total-pelo-chat_bSvcyjqCZjbabY6M,"Não fiz aposta aos 93 min de dupla hipótese,por fovor devolva o dinheiro pode confirmar essa aposta"
