,company_name,description,href,full_complain
0,betsul,"Fiz uma conta no site mas nunca apostei. Então tentei entrar no site para excluir, porém não tem essa opção. Enviei e-mails pra em",excluir-conta_I68RJHPVONUdjTAy,"Fiz uma conta no site mas nunca apostei. Então tentei entrar no site para excluir, porém não tem essa opção. Enviei e-mails pra empresa, sem respostas. Exijo da empresa que exclua minha conta e todos os dados relacionados a ela conforme prevê a lei de proteção de dados."
1,betsul,Site em constante travamento..dando erro de login sendo que senha é usuário estava correto..já tem mais de 5 horas que não consigo,site-travado-com-tela-em-branco_CEvBhqQAad00rbcK,Site em constante travamento..dando erro de login sendo que senha é usuário estava correto..já tem mais de 5 horas que não consigo ter acesso 
2,betsul,"Estou tentando entrar com as minhas credenciais, como faço diariamente para realizar apostas, mas a plataforma está notificando &q",erro-gravissimo-na-plataforma_lpCAXvFl-mpkBKqr,"Estou tentando entrar com as minhas credenciais, como faço diariamente para realizar apostas, mas a plataforma está notificando ""Usuário ou senha incorretos""."
3,betsul,Vou na opção de saque mas dentro dela não tem nada .não deixa faze o saque,nao-deixa-fazer-o-saque_Slvg-EWu4r69mu4r,Vou na opção de saque mas dentro dela não tem nada .não deixa faze o saque
4,betsul,"Não conheço esta empresa BETSUL e nem quero conhecer. Nao sei o que oferecem, mas depois de tanto spam, descobri que OFERECEM DOR ",mensagens-spam--no-meu-endereco-de-email_G-WESHK_d4VifgHn,"Não conheço esta empresa BETSUL e nem quero conhecer. Nao sei o que oferecem, mas depois de tanto spam, descobri que OFERECEM DOR DE CABEÇA. Não sei como acharam o meu endereço de e-mail. Tentei enviar um e-mail para a empresa que voltou.  PAREM DE ME ABORRECER. NÃO QUERO NADA, NADA DE VOCÊS,  POIS NÃO RESPEITAM A MINHA PRIVACIDADE, NÃO ME INTERESSA QUEM NÃO ME RESPEITA."
5,betsul,Realizei um saque no valor de R$825 oriundo de uma aposta vencedora na plataforma Betsul na segunda-feira (22/08). O site pede 48h,betsul-nao-paga-saque-betsul-nao-e-confiavel_uXR6QU_tKA139Bgx,"Realizei um saque no valor de R$825 oriundo de uma aposta vencedora na plataforma Betsul na segunda-feira (22/08). O site pede 48h úteis para o valor ser creditado na conta. Até hoje, sexta-feira (26/08) o valor NÃO FOI CREDITADO, sendo assim, é uma empresa que não honra seus Termos e Condições.Falei com o suporte da casa e eles disseram que ""houve um problema no sistema geral de pagamentos após a implantação do saque por Pix no site"". No entanto, eu não tenho nada a ver com isso. Fiz o pedido do saque na segunda-feira, por transferência, antes do saque por Pix ser implantado. Se fosse uma empresa séria, assim que tivessem notado o problema, teriam pedido meus dados por Pix e feito a transferência por lá ao invés de uma TED normal. No entanto, nem me avisaram nem nada, simplesmente NÃO ME PAGARAM.Os atendentes também me disseram que no máximo na quinta-feira às 19h estaria creditado na minha conta, no entanto, NÃO CAIU UM CENTAVO. Fui paciente e dei esse dia extra para eles, porém eles tiraram uma com a minha cara me dando prazos irreais, tal qual uma empresa que ENROLA SEUS APOSTADORES.A Betsul não paga saques e não é confiável! Eu reclamei com TRÊS ATENDENTES DIFERENTES, desde quarta-feira. Como disse, se fosse uma empresa idônea, no primeiro atendimento eles já teriam solicitado minha chave Pix e feito o pagamento por lá, ao invés de deixar o pagamento manual.Isso é postura de uma empresa ENROLADORA que aceita seus depósitos de imediato e não paga quando você ganha uma quantia um pouco maior? Não aposte nesse site meu amigo! Para pegarem seu investimento em apostas são muito rápidos e eficientes, mas se você ganhar essas apostas, eles simplesmente NÃO PAGAM! Ou seja, toda a essência da aposta jogada no lixo.Trabalho em uma grande emissora de televisão de São Paulo e farei uma boa matéria sobre o caso, indo até as últimas consequências.EM TEMPO: Antes de enviar a reclamação, entrei novamente no site e eles CANCELARAM meu saque sem nem me avisar. Não enviaram nem ao mínimo um e-mail!!!! Entrei lá e meu saque estava CANCELADO. Eu NUNCA o cancelei.Solicitei outro saque do mesmo valor. Dessa vez, via Pix. Se não cair nas 3 horas de prazo estipulado, vamos levar isso a outro patamar e outro tipo de denúncia."
6,betsul,"dia 22/08/2022, eu realizei um saque na betsul eles dão o prazo de 48 horas para creditar na conta . pois ja passo o dia de pagar ",atraso--para-fazer-o-pagamento-do-saque_4Miev20FdtJkpS99,"dia 22/08/2022, eu realizei um saque na betsul eles dão o prazo de 48 horas para creditar na conta . pois ja passo o dia de pagar e ainda eles não pagarão , ele fala que teve um problema com a financeira de que faz o pagamento. Eu só quero que eles cumpra o prazo determinado por eles. e hoje já,e dia 25/082022 e ainda não caiu o deposito na minha conta."
7,betsul,Realizei um saque às 6 da manhã do dia 23/08 e até agora não foi creditado em minha conta corrente.,mais-de-72-horas-aprovado-e-saque-nao-foi-pago_eyJCW7s6L1WjFrwl,Realizei um saque às 6 da manhã do dia 23/08 e até agora não foi creditado em minha conta corrente.
8,betsul,"Está plataforma de aposta não cumpre oque oferece. Fiz duas apostas simbólicas e não querem me pagar.Não é confiável,eu além",e-editado-pelo-reclame-aqui_k02kesZPWDjBJRPc,"Está plataforma de aposta não cumpre oque oferece. Fiz duas apostas simbólicas e não querem me pagar.Não é confiável,eu além do site eu entrei na justiça pedindo danos morais. E percas e danos."
9,betsul,Olá.Me chamo Márcio e estou com um problema na casa de apostas Betsul.Nunca tinha tido problema com a Casa. Já tenho a,dinheiro-retido_CG_OfVBBDMvoLNue,"Olá.Me chamo Márcio e estou com um problema na casa de apostas Betsul.Nunca tinha tido problema com a Casa. Já tenho alguns anos que depósito, aposto e sempre efetuei saques sem nenhum engancho. Contudo, no dia 9 deste mês, solicitei uma retirada através da Vcreditos e não recebi. No site está com status de Arovado, na carteira Vcreditos está como pendente. Já entrei em contato com eles mais de uma vez, porém, sem sucesso, dizem que está na responsabilidade do financeiro, enquanto isso, fico no prejuízo. Gostaria de uma solução. "
10,betsul,"Fiz um pix no valor se R$16,33 e não foi creditado na conta do saite para fazer apostas",pix-nao-creditado-no-site_UTdd_fejyDlhlSYY,"Fiz um pix no valor se R$16,33 e não foi creditado na conta do saite para fazer apostas"
11,betsul,"um amigo me indicou a empresa, e infelizmente não está sendo como ele falou, coloquei saldo em minha conta e fiz alguns jogos, gan",nao-liberam-saque_d5cz7M14cKspxC4p,"um amigo me indicou a empresa, e infelizmente não está sendo como ele falou, coloquei saldo em minha conta e fiz alguns jogos, ganhei e na hora da retirada, eles cancelam o saque e deixam o saldo na conta.Não serve de nada jogar, ganhar se não podemos retirar!!!!! Espero que alguém resolva meu problema!"
12,betsul,"simplesmente els não verificam a conta para não pagarem o saque, ja amndei todos os meus documentos para eles e mandei o comprovan",nao-depositem_x6GeZ8uWISDfCDcp,"simplesmente els não verificam a conta para não pagarem o saque, ja amndei todos os meus documentos para eles e mandei o comprovante de residencia de agua do meu estado, eles negaram sendo que eu estou seguindo os termos deles e meu comprovante esta em perfeito estado. um descaso com o cliente não to conseguindo sacar meu dinheiro pq não querem verificar minha contaMANDO EM ANEXO MEUS DOCUMENTOS"
13,betsul,"não depositem nessa casa estou passando por um problema muito serio com ela, ja mandei todos os meus documentos que eles solicitar",absurdo_lF7VjMgw50TiGnIO,"não depositem nessa casa estou passando por um problema muito serio com ela, ja mandei todos os meus documentos que eles solicitaram, inclusive dois comprovantes de residencia, mas eles não validam miinha conta, absurdo isso. vou divulgar nos grupos de whats isso.segue em anexo meus documentos"
14,betsul,"não depositem nessa casa estou passando por um problema muito serio com ela, ja mandei todos os meus documentos que eles solicitar",nao-depositem_CwqP-kWtwKIYrybD,"não depositem nessa casa estou passando por um problema muito serio com ela, ja mandei todos os meus documentos que eles solicitaram, inclusive dois comprovantes de residencia, mas eles não validam miinha conta, absurdo isso. vou divulgar nos grupos de whats isso.segue em anexo meus documentos"
