,company_name,description,href,full_complain
0,betway,Fiz o saque  a mais de 3 dias e o pedido da sai de enviado na no passou do prazo e eles não dão retorno algum,saque-pendente-a-mais-de-3-dias_DWyWOU2XUi07nYRv,Fiz o saque  a mais de 3 dias e o pedido da sai de enviado na no passou do prazo e eles não dão retorno algum
1,betway,Fiz um Pix na quinta feira a tarde e que não caiu na minha conta. Entrei em contato via chat e me pediram para aguardar 2 horas. R,pix-nao-creditado-e-sem-analise_vXQQr4i5AQAb4LR1,"Fiz um Pix na quinta feira a tarde e que não caiu na minha conta. Entrei em contato via chat e me pediram para aguardar 2 horas. Recebi um email da Inovapay ID 17613170 informando que meu depósito tinha sido aprovado e que o valor de R$479,00 já estava disponível na minha conta, mas verificando o site não estava. Retornei ao chat e me pediram para enviar email para o suporte e aguardar 48hrs. Enviei o email na quinta feira com o comprovante do pix e o email da Inovapay, gerou Reference Number 0003225001538. Hoje, dia que completa as 48hrs, acabei de entrar em contato com o chat e me informaram que SÓ HOJE o meu comprovante estava sendo enviado para o departamento responsável e que A PARTIR DE HOJE eu teria que aguardar mais 48hrs. Na mesma hora que recebi essa informação via chat, me responderam o meu email de quinta feira pedindo para esperar mais 48hrs, oq me leva a crer que aconteceu uma TOTAL falta de organização da empresa que só no final do prazo inicial, resolveu ""achar"" o meu email e enviar para o setor responsável. Usamos uma forma de pagamento que promete crédito imediato ou de até 2 horas e até agora estou a 48hrs esperando e com previsão de mais 48hrs."
2,betway,"solicitei uma retirada e nao me enviaram o dinheiro, todas as vezes que entro em contato com o suport falam que esta em analise e ",solicitei-uma-retirada-e-nao-me-enviaram-o-dinheiro_wyeiZWyn-MMwQNMj,"solicitei uma retirada e nao me enviaram o dinheiro, todas as vezes que entro em contato com o suport falam que esta em analise e ate agora nada nao conseguem me dar uma data de quando vou receber o valor "
3,betway,"Eu tinha 35,00 reais de bônus ontem, quando fui  ver hoje tava zerado meu saldo de bônus ",sumiu-meus-bonus-de-aposta_8ndzy3OE_RHQHO1i,"Eu tinha 35,00 reais de bônus ontem, quando fui  ver hoje tava zerado meu saldo de bônus "
4,betway,"Bom dia! Me chamo Sócrates, login na Betway: socrates_1704@hotmail.com. Na data de  23/08/2022 realizei um pedido de saque no valo",empresa-nao-realiza-o-pedido-de-saque_3nmT-LcBmgcTqnnA,"Bom dia! Me chamo Sócrates, login na Betway: socrates_1704@hotmail.com. Na data de  23/08/2022 realizei um pedido de saque no valor de 4.115.00 reais, sendo que passado mais de 48 horas do referido pedido ainda não haviam efetuado a retirada, entrei em contato via chat para saber o motivo da demora e simplesmente me excluíram do site sem meu consentimento, dessa forma pedi apenas que efetuassem meu saque e os valores remanescentes na conta, diante disso exigiram uma série de documentos, sendo que já fiz o envio de todos e simplesmente já se passaram 10 dias e não me devolvem meu dinheiro. Por favor empresa Betway, confio plenamente na sua reputação no mercado, por gentileza concluam meu processo e finalmente efetuem meu pedido de saque."
5,betway,Fiz um depósito via pix as 19:08Mais até o momento não caiu em minha conta da betway O site diz depósito via pix e na ,deposito-via-pix_m0oL4YKFaey16cGK,Fiz um depósito via pix as 19:08Mais até o momento não caiu em minha conta da betway O site diz depósito via pix e na mesma hora Mandei msg lá eles me pediu comprovante de depósito enviei e mesmo assim não caiu 
6,betway,"Boa Tarde, faz mais de um mês que solicitei um saque  na betway no valor de R$ 100,00,pelo pix e até hoje não recebi,já mandei vár",saque-nao-recebido_9r3YDh-vTCS65QKu,"Boa Tarde, faz mais de um mês que solicitei um saque  na betway no valor de R$ 100,00,pelo pix e até hoje não recebi,já mandei vários documentos e selfie e não me pagam ,só falam q está em análise.( login: vampiro71)."
7,betway,"Fiz o depósito, entrou na conta. Fiz a aposta e depois sumiu o dinheiro e a aposta em segundos. Oi seja depositei  e meu dinheiro ",deposito-e-aposta_lQlvkAWITUD7dDAv,"Fiz o depósito, entrou na conta. Fiz a aposta e depois sumiu o dinheiro e a aposta em segundos. Oi seja depositei  e meu dinheiro sumiu sem aposta"
8,betway,"Fiz solicitação de saque no valor de 1.595,00 no dia 23/08, após dois dias entrei em contato junto ao suporte e me pediram 48 hrs ",saque-nao-pago-e-conta-excluida_YxHtGW-2Zj3Vl3wI,"Fiz solicitação de saque no valor de 1.595,00 no dia 23/08, após dois dias entrei em contato junto ao suporte e me pediram 48 hrs para a resolução, passado o prazo entrei em contato de novo e pediram novamente 48hrs, pela terceira vez entrei em contato e pediram novamente 48hrs, ainda fui questionado porque eu queria o dinheiro a ser sacado, isso não é pergunta que faça ao cliente totalmente pessoal. Quero meu dinheiro de volta e minha conta ativa novamente. Irresponsáveis, não eficientes e não qualificados a falar e ser resolutivo junto aos clientes. Farei denúncia e irei procurar meus direitos se não for resolvido. Login kaique_bruna"
9,betway,"Fiz um solicitação de saque de 275,00 e até agora não caiu,minha conta está verificada tudo certinho,como já vi várias pessoas aqu",editado-pelo-reclame-aqui_rkgf9Sk_-3v7wED5,"Fiz um solicitação de saque de 275,00 e até agora não caiu,minha conta está verificada tudo certinho,como já vi várias pessoas aqui reclamando que solicitam o saque e depois não recebem,vou entrar com um processo contra a empresa se meu dinheiro não cair na minha conta hoje! "
