,company_name,brazilian_visitors,hq_country,bounce_rate,visit_duration,male,female,18-24,25-34,35-44,45-54,55-64,65+,processadoras,pix,boleto,detalhes
0,bet365.com,89890100,United Kingdom,0.536,8.0,0.639,0.361,0.326,0.306,0.166,0.1,0.065,0.037,Astropay,1,1,0
1,betano.com,33472780,No info,0.587,3.0,0.61,0.39,0.347,0.305,0.166,0.095,0.058,0.029,Pay4Fun,1,1,0
2,pixbet.com,24295080,Brazil,0.219,12.0,0.609,0.391,0.353,0.324,0.16,0.085,0.052,0.027,Pagsmile,1,0,0
3,estrelabet.com,11742180,Brazil,0.127,12.0,0.544,0.456,0.301,0.351,0.175,0.094,0.056,0.023,Paybrokers,1,0,0
4,betnacional.com,11090010,No info,0.234,26.0,0.627,0.373,0.249,0.324,0.187,0.125,0.081,0.033,Astropay,1,0,0
5,galera.bet,7661940,No info,0.591,4.0,0.621,0.379,0.267,0.326,0.178,0.114,0.079,0.036,Qesh,1,0,0
6,sportingbet.com,7360080,United Kingdom,0.279,16.0,0.605,0.395,0.209,0.317,0.204,0.133,0.094,0.043,Pinbank,1,1,0
7,betfair.com,6313890,United Kingdom,0.19,15.0,0.726,0.274,0.216,0.305,0.184,0.14,0.094,0.061,Pay4Fun,1,1,"Astropay integrada, somente cartoes pre-pagos"
8,kto.com,4023940,India,0.54,6.0,0.72,0.28,0.317,0.309,0.162,0.1,0.071,0.041,"Pay4Fun, Directa24",1,1,Boleto pela P4F
9,betway.com,3160590,Malta,0.514,6.0,0.704,0.296,0.293,0.315,0.168,0.114,0.067,0.044,"Pagsmile, Directa24, Inovapay",1,0,Astropay e P4F integrados como carteira digital
10,marjosports.com,2493000,Brazil,0.415,4.0,0.498,0.502,0.241,0.322,0.204,0.117,0.08,0.036,Paybrokers,1,0,P4F integrado como carteira digital
11,sportsbet.io,1189800,Cook Islands,0.526,6.0,0.651,0.349,0.382,0.311,0.129,0.083,0.057,0.038,Inovapay,1,0,P4F integrado como carteira digital
12,betsson.com,1183000,Sweden,0.432,5.0,0.642,0.358,0.315,0.301,0.173,0.131,0.068,0.041,Banco do Brasil,1,1,P4F integrado como carteira digital
13,betsul.com,953042,No info,0.346,12.0,0.627,0.373,0.203,0.335,0.205,0.127,0.09,0.039,Bigpag,1,0,P4F integrado como carteira digital
