,company_name,description,href,full_complain
0,estrelabet,"Fui no site pedir o estorno, sendo que eu não sabia que tinha que procurar o vendedor, depois deu ter entrado em contato com site ",o-vendedor-do-produto-me-chamou-de-editado-pelo-reclame-aqui-e-aproveitadora_QdlGakjW7V_0jwhc,"Fui no site pedir o estorno, sendo que eu não sabia que tinha que procurar o vendedor, depois deu ter entrado em contato com site da empresa procurei o vendedor ele logo me tratou mau , e nem se quer procurou saber o motivo deu n querer mais continuar com o produto, quando ele me ofereceu o produto me tratou super bem mais logo depois que não quis mais , ele me distratou foi arrogante sendo que ele foi bem claro q se eu não gostasse poderia pedir o estorno e foi oque eu fiz, sem contar que ele só simplesmente me vendeu e nem me ajudou a usar o produto , até porque ninguém nasce sabendo né então tinha que me ajudar e não me insultar , ameaçou até de colocar uma *restrição no meu Cpf* só porque eu não quis mais o produto. Eu tenho por direito o estorno até porque não sou obrigado a nada e tenho provas que nas mensagens ele me chamou de *Aproveitadora, [Editado pelo Reclame Aqui]*. Ele deveria tratar os clientes com respeito até porque eu não roubei nada *Eu Comprei* quero que ele prove que sou [Editado pelo Reclame Aqui] como ele mesmo citou... estou indignada com isso... quero uma resposta... *Quero o meu reembolso* É uma falta de respeito muito grande."
1,estrelabet,Eu nunca tive conhecimento do site até ontem quando uma amiga me indicou. Ao tentar me registrar está dizendo que meu CPF já está ,nunca-tive-acesso-e-meu-cpf-consta-cadastrado_Z-Y8aIsr-GlMlIga,"Eu nunca tive conhecimento do site até ontem quando uma amiga me indicou. Ao tentar me registrar está dizendo que meu CPF já está cadastrado. Como isso?Tentei redefinir senha na opção esqueci senha e nenhum e-mail meu estava cadastrados, pois como eu disse.. nunca acessei o site e meus e-mails são meus há anos.Tentei fazer contato via site, porém só dá erro."
2,estrelabet,"No jogo aviator fiz várias aposta e não estou recebendo, pelo chat não respondem demora e quando chega na minha hora desconecta .",sabotando-o-jogo_b6q_Q056oEQfPs9r,"No jogo aviator fiz várias aposta e não estou recebendo, pelo chat não respondem demora e quando chega na minha hora desconecta ."
3,estrelabet,Então boa tarde!Estou vindo aqui pra fala com o suporte do jogo estrela bet Porque eu Preciso de Uma Ajuda Né eu não estou consegu,sobre-o-login-perdido_PZSKGf5JzB6iSRaj,Então boa tarde!Estou vindo aqui pra fala com o suporte do jogo estrela bet Porque eu Preciso de Uma Ajuda Né eu não estou conseguindo entra no meu usuário e nem senha eu perdi me ajudem a entra no jogo pfvr
4,estrelabet,Comprei o robô mais não consigo acessar ele pra mim receber os sinais de apostas,nao-consigo-a-sala-de-sinais-do-robo_4js9-f9uPPADL--m,Comprei o robô mais não consigo acessar ele pra mim receber os sinais de apostas
5,estrelabet,"Bom dia, ontem a noite fiz uma aposta de 3,00 para parar no 1.34 o avião subiu bem acima disso. Mas o valor não foi atualizado na ",fiz-uma-aposta-ganhei-mas-meu-saldo-nao-atualizou__RsVyypgJ9_QKulb,"Bom dia, ontem a noite fiz uma aposta de 3,00 para parar no 1.34 o avião subiu bem acima disso. Mas o valor não foi atualizado na minha conta! O suporte demorou muito para atendimento, peço que atualizem meu saldo!"
6,estrelabet,Solicitei um pedido de saque sexta feira à tarde e até agora não caio o dinheiro na minha conta,saque-pedente_UGVDj3wcXMm_QFSs,Solicitei um pedido de saque sexta feira à tarde e até agora não caio o dinheiro na minha conta
7,estrelabet,"Fiz o primeiro depósito de 30 reais, o app travou logo na primeira jogada, saí do app..e agora tento entrar (senha incorreta), ten",problemas-para-acessar-a-conta-apos-o-deposito_5255Xj5pRpdetTpd,"Fiz o primeiro depósito de 30 reais, o app travou logo na primeira jogada, saí do app..e agora tento entrar (senha incorreta), tento recuperar a senha o app trava, falei na central o atendente disse que era um problema com todos mas testei com outra pessoa e notei que não era verdade .E-mail ou telefone daniellemedeirosbelchior@gmail.com"
8,estrelabet,Cancelei e não veio meu dinheiro no jogo spacema ,cancelei-a-aposta-e-nao-voltou-o-dinheiro_Itl9tqx_Cr4eHvLl,Cancelei e não veio meu dinheiro no jogo spacema 
9,estrelabet,"Infelizmente a estrelabet, consegue fazer algo que nenhuma outra casa faz, deixar um usuário de sua casa, aguardado por 48 horas p",aposta-pendente-a-2-dias--sendo-que-ja-foi-concluida-e-ganha_mrI10vpOVBK2ge-6,"Infelizmente a estrelabet, consegue fazer algo que nenhuma outra casa faz, deixar um usuário de sua casa, aguardado por 48 horas por um valor ganho, não usam nenhum site de acompanhamento e nenhuma forma de resolver o problema, só argumentam aguardar. Pq aguardar por uma posta concluída, só preciso que me paguem, pq nunca mais usarei sua plataforma.Descaso total. Aposta ganha, consta como pendente a 2 dias ! "
