,company_name,description,href,full_complain
0,galera-bet,O site galera bet e a maior enganção nunca apostem nesse site e uma casa que engana trouxa quem apostar nessa casa pq vao perder s,aposta-ganha-e-nao-paga_LB60UZ0UNmVklfzd,O site galera bet e a maior enganção nunca apostem nesse site e uma casa que engana trouxa quem apostar nessa casa pq vao perder sem dinheiro eu apostei ganhei mais de 2 mil reais nao me pagaram meteram o loko nao me respondem no chat se vc colocaram seu dinheiro sera perdido nao coloquem 1 real nessa casa [Editado pelo Reclame Aqui] vou ir no procon reclamar meu dinheiro
1,galera-bet,"Boa tarde meu nome é Rodrigo. Vou logo chegar xingando vcs pq vcs merecem, e primeiramente vão tudo tomar no cu e segunda, q",aposta-em-andamento_9uFBXzOb_0EnjH36,"Boa tarde meu nome é Rodrigo. Vou logo chegar xingando vcs pq vcs merecem, e primeiramente vão tudo tomar no cu e segunda, quero saber pq retiraram minha aposta em andamento, só pq eu ia ganhar uma meta legal??Aaahh vcs tem inveja até de nós que é pobre e ainda vem pegando nosso dinheiro que precisamos, vão se fuder quero meu dinheiro só isso.Seus merda.Nem se for no inferno eu vou atrás do meu dinheiro, então vejam isso pra mim."
2,galera-bet,Tento saca meu dinheiro e tá dando cliente estrito .. N consigo tira meu dinheiro ,saque_sNMwQTUFrvL_URFW,Tento saca meu dinheiro e tá dando cliente estrito .. N consigo tira meu dinheiro 
3,galera-bet,Meu nome e Leandro Francisco apostador do GALERA BETHoje dia 03.09.2022 fazendo apostas na casa na quinta aposta ganhei mas ,nao-pagou-a-aposta-ganha_MD55EvMzE0u0Xu3Y,"Meu nome e Leandro Francisco apostador do GALERA BETHoje dia 03.09.2022 fazendo apostas na casa na quinta aposta ganhei mas apareceu aposta não estabelecida o dinheiro não caiu no saldo, meteram a mão no meu dinheiroVou processar já que tenho printE não apostar mais no GALERA BET, estarei apostando na BETANO que paga certo e nunca aconteceu issoMeu nome é Leandro Francisco tel  43984080764 e-mail leandropompom2@gmail.com"
4,galera-bet,"Deram 50 reais de bônus de aposta, ganhei mais de 700 reais, fiz outras apostas e deu como não estabelecida, e ainda [Editado pelo Reclame Aqui]am meu ",aposta-nao-estabelecida_VClCsKvgp1O4Xytj,"Deram 50 reais de bônus de aposta, ganhei mais de 700 reais, fiz outras apostas e deu como não estabelecida, e ainda [Editado pelo Reclame Aqui]am meu bônus todo"
5,galera-bet,Mim cadastrei no galera bet  não depositei nada ganhei um bônus de 50 reas de boas vindas fis uma aposta e ganhei a aposta pq o di,galera-bet__JrozwklvQ4nsA_W,Mim cadastrei no galera bet  não depositei nada ganhei um bônus de 50 reas de boas vindas fis uma aposta e ganhei a aposta pq o dinheiro que ganhei foi pra bônus não consegui fazer o saque 
6,galera-bet,Cancelaram a minha conta com 4000 mil reais nela fazendo com suspeita de [Editado pelo Reclame Aqui] q eu estava emprestado conta pra terceiro alguém p,bloquearam-meu-dinheiro_sku9XcYODdZKBFgN,Cancelaram a minha conta com 4000 mil reais nela fazendo com suspeita de [Editado pelo Reclame Aqui] q eu estava emprestado conta pra terceiro alguém pode me ajudar q medidas tenho q tomar estou desesperada
7,galera-bet,"Hoje, ganhei um aposta na galera bet e eles não me pagaram, tenho print de tudo que rolou e usaram uma justificativa pífia para da",bet-nao-paga-plataforma-nao-confiavel_1X1nQSAM_Z1NZgGC,"Hoje, ganhei um aposta na galera bet e eles não me pagaram, tenho print de tudo que rolou e usaram uma justificativa pífia para dar tentar dar solução ao problema. Eu apostei em LOL, na EDG, por volta dos 29-30 min de jogo e abriu uma odd de 11x na EDG e entrei assim que vi, pq vi que tinha possibilidade e valia a pena o valor investido, tive o dinheiro preso por 4~5min até o jogo acabar e minha aposta foi vencedora e não recebi o dinheiro, só me retornaram o valor investido fui sacar e me deram o período de 3 meses para devolver o dinheiro sem nenhum tipo de comunicação. Entrei em contato com o suporte e o deparmento responsável me retornou que o jogo já estava no final KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK e por isso minha bet tinha sido devolvida, sendo que eu apostei no vencedor do jogo 2 e a EDG ganhou o jogo 2. Meu dinheiro ficou preso até o fim do jogo, se fosse algo que tivesse problema automaticamente seria cancelado a aposta. Muito engraçado, patrocinadores masters de Brasileirão e Corinthians se doendo por conta de 2000mil reais. Sinceramente, decepcionado, não confiem nessa plataforma."
8,galera-bet,"Criei uma conta e toda vida que vou tentar longin diz que o usuário ou a senha estão incorreto, sendo que estão certo.",criei-uma-conta_LUFZQh-J-ftWAv4F,"Criei uma conta e toda vida que vou tentar longin diz que o usuário ou a senha estão incorreto, sendo que estão certo."
9,galera-bet,1 problema no dia 30 de agosto as 12:11 eu devolvi um pix por engano de 20 reais e eles não me respondem nem me devolvem meu dinhe,2-problemas-seguidos-com-o-galera-bet_1dz6YzG5r_MT814k,1 problema no dia 30 de agosto as 12:11 eu devolvi um pix por engano de 20 reais e eles não me respondem nem me devolvem meu dinheiro.. Como nunca tive problema com a plataforma ainda assim fiz 4 apostas para o jogo de sábado dia 03/09 e hj dia 01/09 as apostas sumiram não consta no site está como se eu não tivesse feito 
