,company_name,description,href,full_complain
0,kto-sportsbook-betting-casino-online,"Fiz uma aposta aos 87 minutos de Brusque X Vasco, A janela do jogo mostrava o placar de 1 a 1, gol do Brusque aos 26 minutos do pr",fui-enganado_t2I6KcFDm_DtjTNA,"Fiz uma aposta aos 87 minutos de Brusque X Vasco, A janela do jogo mostrava o placar de 1 a 1, gol do Brusque aos 26 minutos do primeiro tempo marcado por G. Taliari e o gol do Vasco aos 55 minutos por A. Teixeira. Estava pagando 7 X 1 para o empate. Diante do cenário. Apostei R$ 5,70, caso o empate se confirmasse ganharia R$ 39,90. Porém o jogo acabou e fui surpreendido com a perca da aposta, pois o jogo acabou 1 X 0  para o brusque. Oras, como 1 a 0 se o jogo estava 1 X 1. No chat o atendente Me disse que foi um erro, porém a KTO não se responsabiliza por esses erros. Como não se responsabiliza, sou induzido a erro, perco dinheiro e casa ganha com o erro deles. "
1,kto-sportsbook-betting-casino-online,"Esse empresa pratica jogo de azar, no jogo aviator, quando vc faz a aposta o avião sai antes do jogo começar, fazendo um apostador",aviator-jogo-de-azar_xHHdkPLq6TTz-elq,"Esse empresa pratica jogo de azar, no jogo aviator, quando vc faz a aposta o avião sai antes do jogo começar, fazendo um apostador perder tudo. Vou fazer a denuncia para as autoridades competentes. "
2,kto-sportsbook-betting-casino-online,"Já estou a 4 dias tentando sacar meu dinheiro nessa casa de apostas e esperei 24 horas e meu saque foi recusado, saquei normal sem",saque--me-ajudem-por-favor_3qjRQCGNMsztO7PB,"Já estou a 4 dias tentando sacar meu dinheiro nessa casa de apostas e esperei 24 horas e meu saque foi recusado, saquei normal sem ser pix o dinheiro também não cai na conta,só quero receber meu dinheiro e não jogar nunca mais com vocês .na hora de depositar cai na hora .pra sacar , não conseguimos receber"
3,kto-sportsbook-betting-casino-online,Sou mais um que está encontrando dificuldades para sacar o que ganhei forma justa nessa casa de aposta. Quando viram que eu estava,saque-retido-e-demora-para-verificacao-da-conta_5EHpjDUtU0Jk-La-,"Sou mais um que está encontrando dificuldades para sacar o que ganhei forma justa nessa casa de aposta. Quando viram que eu estava ganhando, eles simplesmente aplicaram o tal do contratinho e suas cláusulas para evitar que me pagassem, então pediram documentos que foram enviados, pois que até o momento não fizeram a verificação da mesma. Nem bancos do nosso dia a dia demora tanto assim. Com self e tudo mais, estão praticando abusos contra o consumidor. Está na hora do Ministério Público entrar com força para verificar tais casas que praticam isso. O detalhe que para depósitos não há nenhuma restrição ou pedem documentação, que nesse caso seria o mais certo, pedir os DOCS"" na hora de depositar. Sei que muitos já estão ajuizando contra essa casa de aposta. Quero meu problema resolvido KTO."
4,kto-sportsbook-betting-casino-online,"Boa tarde, apostei em mais de 0,5 cartões para equipe visitante. Equipe tomou um cartão amarelo e eu recebi a aposta, após um perí",editado-pelo-reclame-aqui_IJrFojbT7u8RmDQx,"Boa tarde, apostei em mais de 0,5 cartões para equipe visitante. Equipe tomou um cartão amarelo e eu recebi a aposta, após um período fui ver e minha conta ficou negativa e aposta foi ANULADA. Isso é um [Editado pelo Reclame Aqui], o odds não estavam errados. Não havia erro nenhum. Se eu tivesse perdido teria que pagar.Eu exijo ressarcimento da aposta, eu venci ela. Caso contrário vou postar em todas minhas redes sociais, no reclame aqui e não nunca mais jogo na cas. É um direito meu e exijo ser ressarcido Aposta: ID: 1241358539"
5,kto-sportsbook-betting-casino-online,Boa tarde estou a 5 dias enviando mais de 10 comprovante de rezidencia para confirmar o que a kto me pedio sendo que eu ha jogo a ,nao-querem-me-pagar_RtVriexIkax0Qmnt,Boa tarde estou a 5 dias enviando mais de 10 comprovante de rezidencia para confirmar o que a kto me pedio sendo que eu ha jogo a quase 1 ano sempre recebi e agora pediram tudo de novo fiz todos os procedimentos e so sabe dizer que este nao serve este nao serve sendo que ali esta bem claro que de internet original tambem vale nandei o  comprovante da tim original da minha internet e tambem negaram preciso sacar meu dinhiro porque qyando eu perco nao rechamo agora quero o que e meu mais tenho 10 prints e tidos negado por favor alguem faça alguma coisa meu contato e 48 999551447 aguardo o retorno se nao vou ter que ir pro procom
6,kto-sportsbook-betting-casino-online,"eu fiz uma boa grana na KTO, eu ja havia feito varios saques, e ja havia feito a verificação da conta, um dia bloquearam minha con",bloquearam-minha-conta-para-eu-nao-sacar_cZ3eJhL5SA-PCfUC,"eu fiz uma boa grana na KTO, eu ja havia feito varios saques, e ja havia feito a verificação da conta, um dia bloquearam minha conta, e eu nao conseguia faze saques, ficavam pedindo inumeros documentos, e nunca aceitavam as fotos =que eu mandava, eu segui todos os procedimentos conforme haviam me passado,, entao eu decidi perder tudo, no momento em que minha conta zerou, liberaram, é uma empresa sacana, nao apostaem nesse lixo, sao pessoas de mau carater, site sacana"
7,kto-sportsbook-betting-casino-online,"Jogos a muitos anos, e já tinha validado meu endereço com um boleto da vivo na qual tenho o mesmo número a mais de 10 anos. Fui fa",comprovante-de-residencia_PZlbCHxWVfr2Dt1n,"Jogos a muitos anos, e já tinha validado meu endereço com um boleto da vivo na qual tenho o mesmo número a mais de 10 anos. Fui fazer um saque de uma quantia pequena e pediram pra confirmar endereço. Enviei boleto de banda larga no meu nome, fatura da faculdade que estudo, boleto da vivo e NADA é  aceito.Moro com meu pai na qual as contas de água e luz estão no nome. ENGRAÇADO QUE PRA CREDITAR PODE!!Aguardo retorno!!"
8,kto-sportsbook-betting-casino-online,"Fiz duas apostas exatamente iguais cujo entrei com as duas com resultados já definidos, misteriosamente numa delas perdi. Quero me",editado-pelo-reclame-aquiam-aposta_Jx7Xparf44oZR106,"Fiz duas apostas exatamente iguais cujo entrei com as duas com resultados já definidos, misteriosamente numa delas perdi. Quero meu dinheiro novamente "
9,kto-sportsbook-betting-casino-online,"Estava jogando roleta e após uma sequencia grande saindo a cor preta em que eu estava jogando no vermelho, fiz uma aposta no verme",manipulacao-e-editado-pelo-reclame-aqui-na-roleta_gFcu7fef9Yv2KSI4,"Estava jogando roleta e após uma sequencia grande saindo a cor preta em que eu estava jogando no vermelho, fiz uma aposta no vermelho no valor de R$ 22,00, deu vermelho, só que o provedor não anunciou a vitória do vermelho, eles simplesmente rodaram de novo e saiu a cor preta, resultado comeram o valor da minha aposta.Fiz reclamação no chat da KTO e eles disseram que estava tudo certo, eu teria que ter um vídeo ou um print da tela aparecendo que deu vermelho. Como vou ter isso?Agora tenho que gravar todas as rodadas para provar o resultado.Houve reclamações no chat da roleta na hora que ocorreu, eles podem ver que não foi somente eu que reclamei.Estão manipulando e [Editado pelo Reclame Aqui] na cara dura."
