,company_name,description,href,full_complain
0,marjosports,"BOM DIA .FOI PREMIADO EM UMA APOSTA NO DIA 02/09/2022 NO VALOR DE 336,53 DAI FIZ O SAQUE PELO APP DA EMPRESA E NÃO RECIBE O ",premiacao-de-aposta-nao-feita-pela-mesma_K7a6xFWfAPY5Qr7g,"BOM DIA .FOI PREMIADO EM UMA APOSTA NO DIA 02/09/2022 NO VALOR DE 336,53 DAI FIZ O SAQUE PELO APP DA EMPRESA E NÃO RECIBE O VALOR ."
1,marjosports,Ganhei no cassino solicito saque e não consigo ,quero-sacar_7hImG2QXtPwD5UIL,Ganhei no cassino solicito saque e não consigo 
2,marjosports,Não estou conseguindo fazer um saque menino que é 50 reais Suporte muito instável que vive reiniciando e me jogando pro fina,nao-consigo-fazer-saque_rax0X05f1arKCBDc,"Não estou conseguindo fazer um saque menino que é 50 reais Suporte muito instável que vive reiniciando e me jogando pro final da fila , só quero meus 50 reais que está lá."
3,marjosports,"Fiz um depósito de 50,00 faz mais de 1 hora e ainda não caiu , eu quero é não consigo , que saco devolva meu dinheiro. ",deposito-nao-creditado_Y5xFKdkGmoE6MJ7h,"Fiz um depósito de 50,00 faz mais de 1 hora e ainda não caiu , eu quero é não consigo , que saco devolva meu dinheiro. "
4,marjosports,"Eu fiz um depósito na conta do marjosportes,para poder apostar e não caiu. Estou querendo apostar e não consigo. ",fiz-um-deposito-na-conta-do-marjosportes-para-poder-apostar-e-nao-caiu_-461HjvcctDk1DmK,"Eu fiz um depósito na conta do marjosportes,para poder apostar e não caiu. Estou querendo apostar e não consigo. "
5,marjosports,"Fiz um pedido de saque e sumiu meu saldo e o dinheiro não foi pra minha conta,ficou só saque pendente.",fiz-um-pedido-de-saque-via-pix-e-o-dinheiro-nao-foi-pra-minha-conta-pra_9QjQxkJzozQClI0L,"Fiz um pedido de saque e sumiu meu saldo e o dinheiro não foi pra minha conta,ficou só saque pendente."
6,marjosports,"Ganhei dois jogos da China hoje pela manhã e a marjo Sports validou como perda! Foi Green, deu red. Em anexo estou mandando os com",ganhei-mas-deu-red_DaK7Wsn53wvKIImC,"Ganhei dois jogos da China hoje pela manhã e a marjo Sports validou como perda! Foi Green, deu red. Em anexo estou mandando os comprovantes de que ganhei, os mesmos dados estão disponíveis em todos os portais de jogos da internet para comprovação que os dados apontam VITÓRIA."
7,marjosports,"Bom dia ,prezados, acertei uma aposta no valor de $470,00(quatrocentos reais) no site supracitado, e o dinheiro está em saldo, por",dinheiro-disponivel-e-nao-dispoe-para-saque_Baqh3omF6qbwu5sb,"Bom dia ,prezados, acertei uma aposta no valor de $470,00(quatrocentos reais) no site supracitado, e o dinheiro está em saldo, porém ,não consigo realizar o saque, sistema informa que tenho apenas 0,09 (nove centavos de saldo). infelizmente o consumidor fica a mercê da empresa que não oferece um suporte, não façam apostas nesse site. "
8,marjosports,"Fiz uma aposta em que um jogador marcaria gol no tempo regulamentar,e ele marcou, mas no sistema da marjosports está como aposta p",acertei-aposta-mas-no-sistema-esta-como-perdida_igc4vCIYJDRSFtr4,"Fiz uma aposta em que um jogador marcaria gol no tempo regulamentar,e ele marcou, mas no sistema da marjosports está como aposta perdida"
9,marjosports,"Fiz uma saque as 14:00h da tarde e até agora está processando , preciso do dinheiro.",saque_ZtZ4PID75tOZe24j,"Fiz uma saque as 14:00h da tarde e até agora está processando , preciso do dinheiro."
