,company_name,description,href,full_complain
0,pixbet,"Nome: Sérgio Alves de Góis CPF: 007.122.113-14 Eu apostei o valor de $2.000,00 e eu ganhei a aposta, contudo, a PIXBET",pixbet-nao-deuxou-eu-sacar-valor-ganho_xbdtAlHMV9gDn3Lx,"Nome: Sérgio Alves de Góis CPF: 007.122.113-14 Eu apostei o valor de $2.000,00 e eu ganhei a aposta, contudo, a PIXBET de na fé não deixou eu sacar o valor "
1,pixbet,"Pixbet está fazendo propaganda enganosa, pois prometem 15 reais de volta após o primeiro depósito de 15, no entanto faz mais de 2 ",propaganda-enganosa_aBhJNUhE_iGEFk26,"Pixbet está fazendo propaganda enganosa, pois prometem 15 reais de volta após o primeiro depósito de 15, no entanto faz mais de 2 meses que fiz o depósito de 15, e até agora não recebi o valor de volta, como o prometido pela empresa. Obs: nunca sai de análise o bônus "
2,pixbet,Não tô conseguindo sacar o dinheiro pois deu como perdida a aposta sendo que ganhei ,eu-ganhei-a-aposta-e-deu-como-perdida-a-aposta_xvZUMMZ8Rhb44u38,Não tô conseguindo sacar o dinheiro pois deu como perdida a aposta sendo que ganhei 
3,pixbet,Não  tá aparecendo os palpites,nao--ta-aparecendo--os--palpites_Ykqcca8RqVgiIPP-,Não  tá aparecendo os palpites
4,pixbet,Não estou conseguindo entra ,nao-consegui-entrar_hOt6V2UWlpmOGCkV,Não estou conseguindo entra 
5,pixbet,Fiz o saque e tá dando erro,fiz-o-saque-e-ta-dando-erro_YHAeGNId_jmXJuvp,Fiz o saque e tá dando erro
6,pixbet,Nao consigo entrar no site pois esqueci o meu login de usuario,esqueci-o-nome-do-meu-login_fcKOhkIfq9HJjinS,Nao consigo entrar no site pois esqueci o meu login de usuario
7,pixbet,"Olá, boa noite! Gostaria de saber como posso resolver este problema. Esqueci meu usuário e senha no pixbet, e agora não consigo te",esqueci-meu-usuario-e-senha-no-pixbet_-Fg5xihMOfRXGDtn,"Olá, boa noite! Gostaria de saber como posso resolver este problema. Esqueci meu usuário e senha no pixbet, e agora não consigo ter mais acesso.. como faço para recuperar?"
8,pixbet,"Ontem depositei 1044 reais ok, pediram pra gastar todo dinheiro depositado dentro do app em apostas apostei todo valor 1044, ganhe",quero-meu-dinheiro-por-favor_Zz8F7WsCLPqUpgOd,"Ontem depositei 1044 reais ok, pediram pra gastar todo dinheiro depositado dentro do app em apostas apostei todo valor 1044, ganhei as apostas e porqur agora eu não posso sacar meu dinheiro que ganhei ? Esta dando que o levantamento esta desativado , que absurdo é esse? Se mandaram eu gastar todo meu dinheiro eu zerei. Apostei tudo. Ganhei as apostas e porque esta dando a mesma bronca? Por favor quero meu dinheiro "
9,pixbet,"Estou me sentindo [Editado pelo Reclame Aqui]. estou a 3 horas tentando fazer cashout de uma partida, app me da a opção porém da erro.Valor de ap",estou-tentando-fazer-cashout-a-3-horas-e-nao-consigo_2qxjRoPAwUNS_N6S,"Estou me sentindo lesado. estou a 3 horas tentando fazer cashout de uma partida, app me da a opção porém da erro.Valor de aposta menor consigo. somente o valor maior não consigo."
