Company,Company Name for Emails,Account Stage,Lists,# Employees,Industry,Account Owner,Website,Company Linkedin Url,Facebook Url,Twitter Url,Company Street,Company City,Company State,Company Country,Company Postal Code,Company Address,Keywords,Company Phone,SEO Description,Technologies,Total Funding,Latest Funding,Latest Funding Amount,Last Raised At,Annual Revenue,Number of Retail Locations,Apollo Account Id,SIC Codes,Short Description,Founded Year,Logo Url
Amaya,Amaya,Cold,"GAMBLING 22W30, poker - estudo",220,gambling & casinos,"",http://www.amaya.biz,http://www.linkedin.com/company/amaya,http://www.facebook.com/pages/Indian-Fine-Dining-Restaurants-Chutney-Mary-Veeraswamy-Amaya/92707517909,https://twitter.com/theamaya_,"",Pointe-Claire,Quebec,Canada,"","Pointe-Claire, Quebec, Canada","online b2b, lottery solutions, landbased slots & vlts, entertainment, games platform, online poker, inroom hotel entertainment system, online slots, live gaming, online table games, mobile casino games, online casino games, mobile & sms lottery, fast food, food, imported food, indian, restaurants","","Amaya, situated in the heart of Belgravia, offers a unique contemporary gourmet Indian cuisine prepared in a dramatic show kitchen.","Google Tag Manager, Microsoft-IIS, Typekit, ASP.NET, Google Analytics","","","","",1969000,8,62d1d4196a698d00a397bd7e,"","Amaya is a leading provider of technology-based solutions, products and services in the global gaming and interactive entertainment industries. 

Amaya owns gaming and related consumer businesses and brands including PokerStars, Full Tilt, StarsDraft, the European Poker Tour, PokerStars Caribbean Adventure, the Latin American Poker Tour and the Asia Pacific Poker Tour. 

These brands collectively form the largest poker business in the world, comprising online poker games and tournaments, live poker competitions, branded poker rooms in popular casinos in major cities around the world, and poker programming created for television and online audiences. 

Amaya, through certain of these brands, also offers non-poker online gaming products, including casino, sportsbook and daily fantasy sports.",2004,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6321e76595e2330001ab61b6/picture
TopPokerValue.com,TopPokerValue.com,Cold,poker - estudo,1,gambling & casinos,"",http://www.toppokervalue.com,http://www.linkedin.com/company/toppokervalue-com,https://facebook.com/TopPokerValue/,https://twitter.com/TopPokerValue,"",Anton Valley,Cocle,Panama,"","Anton Valley, Cocle, Panama","poker tournaments, rakeback, poker signup bonuses, poker articles, online poker","","Compare the best online poker sites by rake/fees, VIP rewards, freerolls, and sign-up bonuses. Find the best poker site for you today!","Cloudflare DNS, CloudFlare Hosting, Google Font API, Mobile Friendly","","","","",2000000,"",6328a9da8f3f9d00cb755584,7371,"We compare the top poker sites by rake & fee structure, loyalty rewards, freerolls, and other benefits to find the best site for YOU!

Apple to apple comparisons between online poker sites, allowing you to decide which poker site is the best based on your preferred stakes and frequency of play. We analyze the benefits of each online poker site for six categories of player, from casual to hardcore professional. Whether you prefer to play cash game poker, poker tournaments, or sit & go's, we will help you find which poker site is the best for you!",2012,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/631be5d31da9250001479d43/picture
Segurobet,Segurobet,Cold,poker - estudo,2,entertainment,"",http://www.segurobet.com,http://www.linkedin.com/company/segurobet,"","","",Willemstad,North Brabant,Netherlands,4797,"Willemstad, North Brabant, Netherlands, 4797","jogos online, poker, tecnologia, entretenimento online, seguranca da informacao, cassino ao vivo, apostas esportivas, cassino online, jogos virtuais, confiabilidade","","","Cloudflare DNS, Create React App","","","","","","",6328a9da8f3f9d00cb755586,"","O SeguroBet oferece disponibilidade de apostas 24 horas por dia, aceitando apostas em todas as ligas, copas e torneios em todo o mundo.

O SeguroBet aceita apostas em mais de 50 categorias. Isso inclui não apenas os esportes mais populares, mas também competições eletrônicas.

Os jogos ao vivo são negociados individualmente por mais de 300 traders, que se beneficiam do uso de ferramentas automatizadas complexas para gerenciamento de mercado e definição de probabilidades.

Ultimamente, obtivemos a certificação ISO / IEC 27001: 2013 em Segurança da Informação.","",https://zenprospect-production.s3.amazonaws.com/uploads/pictures/62ff86f103631a000139817d/picture
Poker Expert Guide,Poker Expert Guide,Cold,poker - estudo,2,gambling & casinos,"",http://www.pokerexpertguide.com,http://www.linkedin.com/company/poker-expert-guide,"","","","","","","","","online poker, poker articles, poker sites, poker","","","","","","","","","",6328a9f2a240ec00e4b2920c,"","Are you looking to play poker? Well, then you must certainly read these poker tips and tricks, news and articles. Enjoy!
Visit us: http://pokerexpertguide.com/","",https://zenprospect-production.s3.amazonaws.com/uploads/pictures/605c2b9346b4d30001fb9180/picture
Senava Entertainment GmbH,Senava Entertainment,Cold,poker - estudo,0,entertainment,"",http://www.senava.ch,http://www.linkedin.com/company/senava-entertainment-gmbh,"","","",Reussbühl,Luzern,Switzerland,6015,"Reussbühl, Luzern, Switzerland, 6015","poker, hybridpoker, livedealing, onlinepoker, live online poker, gambling","","","YouTube, Bootstrap Framework, WordPress.org, Nginx, Google Font API, Mobile Friendly","","","","","","",6328a9f2a240ec00e4b29216,"","Wir möchten Live-Poker zu Ihnen nach Hause bringen! Dealer, Karten, Spieler.....alles live über Video!",2020,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/61ec40d61f78fb0001b90f4a/picture
Salus Technologies Pvt Ltd,Salus Technologies Pvt,Cold,poker - estudo,16,information technology & services,"",http://www.salustechnologies.com,http://www.linkedin.com/company/salus-technologies-pvt-ltd,https://www.facebook.com/salustech,https://www.twitter.com/salustech,"",Pune,Maharashtra,India,411038,"Pune, Maharashtra, India, 411038","gaming software, infrastructure management, consulting on gaming industry, online poker & casino software solutions, fantasy sports, gaming kiosks",(779) 669-8455,"","Cloudflare DNS, CloudFlare Hosting, Google Tag Manager, Google Font API, WordPress.org, Mobile Friendly, reCAPTCHA","","","","",457000,"",6328aa0293606200a3016a1e,"","Salus Technologies develops software for the online gaming industry. An end-to-end service provider, we offer the complete spectrum of services in gaming infrastructure development and management.

We are constantly redefining ourselves to keep in tune with our customers' demands,  offering an ever increasing bouquet of services in the gaming industry.",2000,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63183041ee354b0001c5bfdf/picture
DomusBet,DomusBet,Cold,"GAMBLING - 10/06/2022, poker - estudo",33,gambling & casinos,"",http://www.domusbet.it,http://www.linkedin.com/company/domus-bet,"","","","","",Italy,"",Italy,"casino online, scommesse sportive online, poker online, gambling online","","","Akamai, Akamai DNS, Gmail, Google Apps, React, Mobile Friendly, Kentico, Google Analytics, Google Tag Manager, Google Font API, reCAPTCHA, ASP.NET, Olark, iTunes, SOASTA, JW Player","","","","","","",62a3692ab9109900a37bc018,"","Domusbet , marchio della società Domus Bet s.r.l, opera nel settore delle scommesse sportive e del gioco a distanza in Italia con regolare Concessione AAMS n° GAD 15003.

domusbet.it vanta una consolidata conoscenza del mercato ed è in grado di proporre un ambiente di gioco entusiasmante ed innovativo, con un'offerta di prodotti completa e altamente competitiva. Ha come impegno primario soddisfare le esigenze dei propri utenti, analizzando e migliorando sempre la propria offerta. Azienda lungimirante, crede che un team unito, forte e attento nella cura dei dettagli, sia indispensabile per distinguersi nel mercato.

Solidità finanziaria, trasparenza delle transazioni, lunga esperienza nel settore del gioco e forte propensione al progresso sono gli elementi che caratterizzano la realtà della nostra Azienda. Attraverso il sito internet domusbet.it propone agli utenti un'ampia gamma di giochi e di opportunità di scommessa, fornendo strumenti semplici, chiari e sicuri, che permettono ai giocatori di divertirsi online con la massima serenità.

Innovazione, competitività e qualità sono le chiavi del nostro marchio. Crediamo che la migliore preparazione per il domani è fare il proprio meglio oggi!",2012,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/62fcb3244912960001423fc5/picture
EGS Consult Limited,EGS Consult Limited,Cold,"GAMBLING 22W30, bet - estudo, poker - estudo",0,gambling & casinos,"",http://www.egsconsult.com,http://www.linkedin.com/company/egs-consult,"","","","","","","","","egaming, online poker, online casino, sports betting","",This domain name has been registered with Gandi.net. It is currently parked by the owner.,"Nginx, Mobile Friendly","","","","","","",62d1d4b2872df700cb24336b,"","EGS Consult is a online consultancy, specialising in e-commerce.

With extensive online gaming (casino, poker, bingo) and sports betting experience EGS Consult is ideally positioned to provide you with the information you need in order to give your business the best chance of success.

This means we are able to assist in everything, from the moment you decide that you want to build an online offering right through to the running and ongoing day to day management of the site itself.

EGS Consult is based in the UK with consulting partners based around the globe with particular focus on Asia,",2007,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/605c3dc49cd8310001cdfd90/picture
PAS.net,PAS.net,Cold,"bet - estudo, poker - estudo",1,marketing & advertising,"",http://www.pas.net,http://www.linkedin.com/company/pas-net,https://facebook.com/PASiGaming,https://twitter.com/PAS_Poker,509 1st Ave NE,Minneapolis,Minnesota,United States,55413,"509 1st Ave NE, Minneapolis, Minnesota, United States, 55413","online poker, revenue share, lead generation, igaming, affiliate marketing, online casino, online bingo, cpa, daily fantasy sports","","","Route 53, Gmail, Google Apps, Sendgrid, Zendesk, Ubuntu, Apache, Mobile Friendly, Facebook Widget, PHP 5.3, WordPress.org, Facebook Login (Connect), Google Font API","","","","","","",63247727dc70a000ccdbdec1,"","With 50 years of combined iGaming Affiliate Marketing experience, the staff at PAS.net understand what it takes to be successful in today's online gaming landscape.

As an industry leading iGaming Affiliate Network, PAS.net connects Publishers with the best revenue-share and CPA offers from top Advertisers in Poker, Casino, Bingo and Fantasy Sports. Publishers also benefit from the tools offered to streamline their marketing efforts, drive higher income and keep costs low. 

PAS.net is proud to provide Advertisers the ability to reach thousands of the world's top online gaming affiliates. This access is proven to accelerate marketing efforts, generate valuable leads, and cement brand positioning in the industry.

Inquire about a PAS Partnership today: http://pas.net/contact-us/",2008,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/62288ec78085ba000192ee93/picture
"Whiz Gaming, Inc",Whiz Gaming,Cold,poker - estudo,0,computer games,"",http://www.whizgaming.com,http://www.linkedin.com/company/whiz-gaming-inc,"","",3773 N Federal Hwy,Pompano Beach,Florida,United States,33064-6609,"3773 N Federal Hwy, Pompano Beach, Florida, United States, 33064-6609","online poker & casino game developer, gaming casino speaker engagements, license online social poker game software, casino game developer",'+1 954-281-2556,"Whiz Gaming is a leading poker software developer provider online poker software and casino games. We offer turnkey online poker and casino software for businesses seeking to penetrate the PC, Mac, Tablet or mobile poker and casino gaming market.","Cloudflare DNS, Outlook, CloudFlare Hosting, Mobile Friendly, reCAPTCHA, Google Maps","","","","",10000000,"",6328a9da8f3f9d00cb75557a,"","Whiz Gaming, Inc. is a leading developer and operator of massive multi-player online poker and gaming software for the Casino and Social Gaming industry. In addition to providing unique gaming experiences, we also develop interactive e-learning and training software for all types of games and corporate training. 

We use interactive video, instant tracking and feedback programs, which create challenging and exciting computer generated learning and training experiences for all users. Our dynamic, robust and interactive massive multi-player poker and casino games, e-Learning and training software all use the latest web-based technologies for seamless viewing on all computers, tablets and mobile device platforms.

Our staff of designers, programmers, game developers, IT security and multimedia experts have a combined 150 years of collective experience across innovative gaming and enterprise software development. Find out more about our company by visiting www.whizgaming.com",2010,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6318a619f79edc0001a20901/picture
