,company_name,brazilian_visitors,hq_country,bounce_rate,visit_duration,male,female,18-24,25-34,35-44,45-54,55-64,65+
0,amaya.biz,-1,United Kingdom,0.114,3.0,0.578,0.422,0.16,0.289,0.229,0.147,0.101,0.072
1,amaya.biz,-1,United Kingdom,0.114,2.0,0.578,0.422,0.161,0.289,0.229,0.147,0.102,0.072
2,toppokervalue.com,-1,- -,,,,,,,,,,
3,segurobet.com,78600,- -,0.177,15.0,0.528,0.472,0.279,0.346,0.18,0.104,0.065,0.027
4,pokerexpertguide.com,-1,- -,,,,,,,,,,
5,senava.ch,-1,- -,,,,,,,,,,
6,salustechnologies.com,-1,- -,,,,,,,,,,
7,domusbet.it,-1,Italy,0.187,12.0,0.802,0.198,0.143,0.227,0.22,0.184,0.134,0.091
8,egsconsult.com,-1,- -,,,,,,,,,,
9,pas.net,-1,- -,,,,,,,,,,
10,whizgaming.com,-1,- -,,,,,,,,,,
11,endeavorgames.com,-1,- -,,,,,,,,,,
12,where2gambleonline.com,-1,- -,,,,,,,,,,
13,online-poker-chips.com,-1,- -,,,,,,,,,,
14,onlinepokerlabs.com,-1,- -,,,,,,,,,,
15,goldbet.it,1080,Italy,0.242,13.0,0.838,0.162,0.207,0.253,0.217,0.174,0.09,0.059
16,greysnowpoker.com,-1,- -,,,,,,,,,,
17,thepacificgaming.com,-1,- -,,,,,,,,,,
18,apat.com,-1,- -,,,,,,,,,,
19,handicappershideaway.com,-1,- -,,,,,,,,,,
20,redchippoker.com,-1,United States,0.575,3.0,0.645,0.355,0.221,0.281,0.193,0.144,0.096,0.066
21,online-poker.uk.com,-1,- -,,,,,,,,,,
22,onlinepokersmart.org,-1,- -,,,,,,,,,,
23,igamingasia.com,-1,- -,,,,,,,,,,
24,outstandingpoker.com,-1,- -,,,,,,,,,,
25,pokermac.com.ar,-1,- -,,,,,,,,,,
26,holdemhumor.com,-1,- -,,,,,,,,,,
27,americascardroom.eu,28080,United States,0.73,1.0,0.843,0.157,0.279,0.255,0.181,0.128,0.094,0.063
28,onlinepokernews.in,-1,- -,,,,,,,,,,
29,zenentertainment.com,-1,- -,,,,,,,,,,
30,oppa888.in,-1,India,1.0,,,,,,,,,
31,onlinepokersmart.com,-1,- -,,,,,,,,,,
32,homegamez.com,-1,- -,,,,,,,,,,
33,pokerstars.com,318780,Isle of Man,0.544,2.0,0.682,0.318,0.254,0.331,0.182,0.114,0.075,0.044
34,thefestival.com,-1,Malta,0.698,0.0,0.595,0.405,0.22,0.292,0.181,0.135,0.098,0.073
35,betshah.com,-1,- -,,,,,,,,,,
36,bestinsites.net,-1,- -,,,,,,,,,,
37,khelplay.com,-1,- -,,,,,,,,,,
38,cakenetworkaffiliates.eu,-1,- -,,,,,,,,,,
39,pokerking.com,9015,Curaçao,0.419,3.0,0.56,0.44,0.241,0.341,0.182,0.116,0.079,0.041
40,777.com,4215,Malta,0.388,7.0,0.656,0.344,0.182,0.295,0.206,0.153,0.097,0.067
41,yorkbet.com,-1,Cyprus,1.0,,,,,,,,,
42,spartanpoker.com,6486,India,0.679,2.0,0.632,0.368,0.316,0.354,0.151,0.08,0.057,0.043
43,betrecruit.com,-1,- -,,,,,,,,,,
44,esandarecruitment.com,-1,- -,,,,,,,,,,
45,czargaming.com,-1,- -,,,,,,,,,,
46,dinolaut.com,-1,- -,,,,,,,,,,
47,onlinepokercrawler.com,-1,- -,,,,,,,,,,
48,onlinepokercrawler.com,-1,- -,,,,,,,,,,
49,onlinepokerrooms.com,-1,- -,,,,,,,,,,
50,synottip.cz,-1,Czech Republic,0.451,8.0,0.728,0.272,0.267,0.269,0.17,0.123,0.105,0.066
51,cardcasino.com,-1,- -,,,,,,,,,,
52,4poker.eu,-1,- -,,,,,,,,,,
53,pokersaint.com,-1,India,0.554,2.0,0.638,0.362,0.376,0.335,0.131,0.075,0.047,0.036
54,connectivegames.com,-1,Russia,0.016,0.0,0.587,0.413,0.182,0.271,0.193,0.158,0.117,0.079
55,goplay.com,-1,United States,0.462,0.0,0.615,0.385,0.264,0.297,0.183,0.121,0.078,0.057
56,centralams.com,-1,- -,,,,,,,,,,
57,onlinepoker2play.com,-1,- -,,,,,,,,,,
58,onlinepokerrealmoney.net,-1,- -,,,,,,,,,,
59,raketherake.com,-1,United Kingdom,0.506,2.0,0.598,0.402,0.223,0.303,0.19,0.133,0.091,0.059
60,amayasoftware.com,-1,- -,,,,,,,,,,
61,pokerlion.com,-1,- -,,,,,,,,,,
62,cricketprediction.com,-1,- -,0.629,2.0,0.585,0.415,0.216,0.29,0.192,0.139,0.099,0.065
63,bearhugpoker.com,-1,- -,,,,,,,,,,
64,99onlinepoker.online,-1,- -,,,,,,,,,,
65,starsgroup.com,-1,Canada,0.205,0.0,0.59,0.41,0.194,0.301,0.208,0.142,0.093,0.062
66,evenbetgaming.com,-1,United States,0.539,6.0,0.569,0.431,0.198,0.324,0.205,0.135,0.088,0.05
67,almagaming.it,-1,- -,,,,,,,,,,
68,sportsden.in,-1,- -,,,,,,,,,,
69,pokerscout.com,-1,United States,0.52,1.0,0.628,0.372,0.234,0.303,0.191,0.132,0.087,0.054
70,fulltilt.com,-1,United States,0.52,0.0,0.615,0.385,0.201,0.308,0.204,0.135,0.093,0.058
