,company_name,description,href,full_complain
0,sportingbet,"Fiz uma aposta de 2 reais, porém além de cobrar 8 reais nao consigo desfazer a aposta. Não é a primeira vez que acontece isso.",nao-consigo-retirar-a-aposta_vCHRRDmcZf6sqLak,"Fiz uma aposta de 2 reais, porém além de cobrar 8 reais nao consigo desfazer a aposta. Não é a primeira vez que acontece isso."
1,sportingbet,"Minha conta foi encerrada no sportingbet,  com todo meu saldo de 2mil investidos que fix no pixe fora os lucros que ganhei nas apo",minha-conta-foi-encerrada-no-sportingbet--com-todo-meu-saldo-de-2mil-investidos-em-pix-e-fora-os-ganhos-que-eu-tinha-em-aposta-que-era-1mil_t4b3XK44sprikjc0,"Minha conta foi encerrada no sportingbet,  com todo meu saldo de 2mil investidos que fix no pixe fora os lucros que ganhei nas apostas, eu solicitei meus 2mil investidos e deixei o lucro pra apostar nos proximos jogos, mas nunca recebi o valor solicitado que foi depositado direto na casa de aposta, ja havia 1 semana q solicitei transferência e meu dinheiro estava bloqueado, hoje fui abrir a conta e estava dizendo que encerraram minha conta com todo meu dinheiro la, os 2mil de pix q fiz na casa e os lucros de aposta também estão bloqueados, eu ja havia mandado os documentos necessarios pra verificação da retirada do dinheiro, mas hj fui surpreendido com o bloqueio da minha conta no sportingbet, um absurdo como eles pegaram meu dinheiro, ficaram com os lucros da minha aposta, e não resolvem meu problema ao inves disso bloquearam minha conta e agora não consigo nem se que entrar em contato para suporte, [Editado pelo Reclame Aqui]am meu dinheiro todo da cara dura. Vou na polícia. "
2,sportingbet,"Depositei 20 reais e veio um bônus de 20 reais, só que não me deixam usar o dinheiro do bônus, não sei porque, entrei em contato, ",sua-aposta-nao-foi-feita-voce-nao-tem-fundos-suficientes-para-fazer-essa-aposta_gvBM7ZwsDaBnWgvK,"Depositei 20 reais e veio um bônus de 20 reais, só que não me deixam usar o dinheiro do bônus, não sei porque, entrei em contato, falam que vai me levar para um especialista, mas não levam.Gostaria de esclarecimentos sinceros da plataforma, e não essas mensagens automáticas que vocs enviam para os que fazem a reclamação aqui, gostaria de um atendimento Humanitário, e não automatizado. Se eu soubesse não teria apostado os 20 que depositei, e como eu vou saber q aquele dinheiro é só bônus? Porque o bônus não foi usado só na primeira aposta?"
3,sportingbet,"Fiz um PIX de R$50,00 hoje 04/09 as 10:33am e o valor não entrou em minha conta.Fiz o PIX da mesma conta que sempre faço os ",pix-nao-entrou-na-conta_MOdB0gRUdPcGEiHW,"Fiz um PIX de R$50,00 hoje 04/09 as 10:33am e o valor não entrou em minha conta.Fiz o PIX da mesma conta que sempre faço os depósitos e retiradas (conta em meu nome, pessoa física)Aguardo crédito na minha conta do Sportingbet ou devolução do dinheiro para o meu banco de imediato."
4,sportingbet,"ESTAVA COM 70 reais na minha conta e quando fui acessar agora só tenho 20,00. Não sei por qual motivo isso aconteceu, ",comeram-5000-da-minha-conta_cjZ1QYrFudTvIqMn,"ESTAVA COM 70 reais na minha conta e quando fui acessar agora só tenho 20,00. Não sei por qual motivo isso aconteceu, aguardo uma resposta!!!!?"
5,sportingbet,"Fiz uma APOSTA NO JOGO DO REAL MADRID, O JOGO ESTAVA 2X1 PRO REAL MADRID, COLOQUEI JOGO ABAIXO 3,5.FIZ A APOSTA , A APOSTA F",ganhei--e-depois-da-aposta-feita-eles-cancelaram-minha-aposta_f4BD1bHBDK8RpUhf,"Fiz uma APOSTA NO JOGO DO REAL MADRID, O JOGO ESTAVA 2X1 PRO REAL MADRID, COLOQUEI JOGO ABAIXO 3,5.FIZ A APOSTA , A APOSTA FOI CONFIRMADA.ASSISTI O JOGO ATÉ O FINAL, E O JOGO TERMINOU 2X1 , PRO REAL MADRID.A APOSTA FOI ATUALIZADA , O DINHEIRO FOI PRA MINHA CONTA DO SPORTING BET, E AGORA EU OLHEI AQUI , ELES SIMPLESMENTE RETIRARAM DA MINHA CONTA SPORTING BET . E AGORA ALEGAM QUE TEVE UM PROBLEMA COM O SITE.E O QUE EU TENHO A VER COM ISSO????TENHO OS PRINTS DA TELA , PASSEI A FAZER ISSO, POIS NÃO É A PRIMEIRA VEZ  QUE ISSO ACONTECE .ENTREI EM CONTATO NO CHAT, O MESMO SÓ INFORMOU QUE INFORMOU QUE INFORMOU FOI ERRO NO SITE .NÃO ME INTERESSA . IGUAL EU PERDI MUITO AQUI. NÃO ABRO MÃO DO QUE EU GANHO. QUEM QUISER VER OS PRINTS DA APOSTA E DA CONVERSA NO CHAT, SÓ ME CHAMA OU RESPONDE AQUI, QUE EU MANDO .JA CHEGA DISSO "
6,sportingbet,"Eles pediram o meu documento pra analisar faz dois dia já e não me deram retorno, e eu tô sem poder jogar ",documento_8y6uTiTlsiHAquvs,"Eles pediram o meu documento pra analisar faz dois dia já e não me deram retorno, e eu tô sem poder jogar "
7,sportingbet,O Chelsea tava perdendo de 1 a 0 para o west ham e eu apostei no Chelsea que o Chelsea ganharia por qualquer outro resultado o Gel,ganhei-e-nao-recebi_Vs9-U0XmPHKjFelS,"O Chelsea tava perdendo de 1 a 0 para o west ham e eu apostei no Chelsea que o Chelsea ganharia por qualquer outro resultado o Gelson venceu por 2 a 1 e o valor, valor ganho não foi depositado na minha conta, deu como resultado perdida  quero meu dinheiro eu vou ter que processar por propaganda enganosa"
8,sportingbet,"Apostei no jogo de Real Madrid x Betis, dia 3 de setembro, em Handicap (-1) Real Madrid, e o resultado final foi que a equipe ganh",nao-devolveram-a-aposta-handicap_ccynbFzhGoBT-13k,"Apostei no jogo de Real Madrid x Betis, dia 3 de setembro, em Handicap (-1) Real Madrid, e o resultado final foi que a equipe ganhou por 1 gol de diferença.Eu deveria receber o valor de volta. Falei com a atendente e ela disse que não é assim, que -1, a equipe precisa vencer por mais de um.Eu aposto em diversas casas de apostas, e handicap -1, se a equipe vence por 1 gol de diferença, o valor retornase a aposta fosse em -1,5 e a equipe perde por 1 gol de diferença, aí sim perde a aposta. A atendente afirmou que o Handicap do sportingbet é europeu, porém em nenhum lugar diz isso, já li todo regulamento e nada. De acordo com o artigo 37 , caput, do CDC proíbe expressamente a publicidade enganosa, vale dizer, aquela que induz o consumidor ao engano. 1.1. Se a informação se refere a dados essenciais capazes de onerar o consumidor ou restringir seus direitos, deve integrar o próprio anúncio/contrato, de forma clara, precisa e ostensiva, nos termos do artigo 31 do CDC , sob pena de configurar publicidade enganosa por omissão"
9,sportingbet,"Depositei 120,00, me deram 120,00 de bônus, porém gastei e sobrou 70,00 do meu dinheiro, mas não tenho a opção de sacar, meu dinhe",nao-transferem-pra-mim_x6rBtlQyZ4ORiaEL,"Depositei 120,00, me deram 120,00 de bônus, porém gastei e sobrou 70,00 do meu dinheiro, mas não tenho a opção de sacar, meu dinheiro está restrito, tenho que fazer mais de 700,00 em apostas, o pior casa de apostas que já usei até hj"
