Company,Company Name for Emails,Account Stage,Lists,# Employees,Industry,Account Owner,Website,Company Linkedin Url,Facebook Url,Twitter Url,Company Street,Company City,Company State,Company Country,Company Postal Code,Company Address,Keywords,Company Phone,SEO Description,Technologies,Total Funding,Latest Funding,Latest Funding Amount,Last Raised At,Annual Revenue,Number of Retail Locations,Apollo Account Id,SIC Codes,Short Description,Founded Year,Logo Url
icould,icould,Cold,learning - estudo,1,e-learning,"",http://www.icould.com,http://www.linkedin.com/company/icould.com,https://facebook.com/icouldstories,https://twitter.com/icouldstories,66 Lincoln's Inn Fields,London,England,United Kingdom,WC2A 3,"66 Lincoln's Inn Fields, London, England, United Kingdom, WC2A 3","careers information, careers inspiration, iag, careers ideas",'+44 20 3137 8737,"Real-life career videos, advice and information to inspire your career","Mobile Friendly, reCAPTCHA, WordPress.org, Apache, Google Tag Manager","","","","",1528000,"",627a5ab4780fbf0001d1176e,8300,"Icould is a non-profit organization that offers personal video stories, job information, practical tips, insight and advice for young people.",2008,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/631742aaa06bd80001c39b87/picture
Project Management,Project Management,Cold,learning - estudo,250,e-learning,"",http://www.engineeringmanagement.info,http://www.linkedin.com/company/projectmanagementinformation,"","","",Los Angeles,California,United States,"","Los Angeles, California, United States","",9059397171,"Huge online community of Project Managers offering over 1000 how-to articles, templates, project plans, and checklists to help you do your job.","Cloudflare DNS, CloudFlare Hosting, CloudFlare, Blogger, Facebook Login (Connect), Google AdSense, Google Tag Manager, Linkedin Login, Google Plus, Facebook Comments, Facebook Widget, Mobile Friendly, Facebook Custom Audiences, Linkedin Widget, Disqus, YouTube","","","","","","",63220b082937d000edf82c2c,"",engineeringmanagement.info it's the biggest blog for helping all #managers and #engineers interested to learn #projectmanagement,2016,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/631f8030e0980f0001ecb999/picture
Babbel,Babbel,Cold,"Consumer Goods, learning - estudo",1000,e-learning,wladimir.barros@paylivre.com,http://www.babbel.com,http://www.linkedin.com/company/babbel-com,https://www.facebook.com/Babbel.USA/,http://twitter.com/playsay,72 Andreasstraße,Berlin,Berlin,Germany,10243,"72 Andreasstraße, Berlin, Berlin, Germany, 10243","mobile games, social games, educational games, language learning, education, mobile, social media, information technology, consumer internet, internet, elearning, mobile apps, online courses, edtech",'+49 30 779079400,"Babbel is the new way to learn a foreign language. The comprehensive learning system combines effective education methods with state-of-the-art technology. Interactive online courses will improve your grammar, vocabulary and pronunciation skills in no time. You'll make fast progress and have fun doing it.","Route 53, Amazon SES, Rackspace MailGun, Gmail, Google Apps, MailChimp SPF, Zendesk, Amazon AWS, Hubspot, OneTrust, WordPress.org, Bootstrap Framework, Google Font API, Google Tag Manager, Typekit, Google Analytics, Ruby On Rails, YouTube, Trustpilot, Mobile Friendly",32000000,Series C,22000000,2015-07-08,174000000,"",627d6bc694fc4600010bd1a0,8200,"Babbel is driven by a purpose: Creating mutual understanding through language. This means building an ecosystem of language learning offerings that helps people connect across cultures. Babbel, Babbel Live and Babbel for Business provide users with the most effective solution to be able to communicate with real people, in real situations. The key is a blend of humanity and technology. More than 60,000 lessons across 14 languages are hand-crafted by 180+ linguists, with user behaviours continuously analysed to shape and tweak the learner experience. And it works: Studies with Yale University, City University of New York and Michigan State University prove its effectiveness. From headquarters in Berlin and New York, 750 people from more than 65 nationalities represent all the differences that make humans unique. Babbel is the most profitable language learning app worldwide, with more than 10 million subscriptions sold. For more information, visit www.babbel.com or download the apps in the App Store or Play Store.",2007,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/631bdefb6b1e470001c7067b/picture
علم ينتفع به,علم ينتفع به,Cold,learning - estudo,460,e-learning,"",http://www.management-academy.us,http://www.linkedin.com/company/%d8%b9%d9%84%d9%85-%d9%8a%d9%86%d8%aa%d9%81%d8%b9-%d8%a8%d9%87,"","","",Cairo,Cairo Governorate,Egypt,"","Cairo, Cairo Governorate, Egypt","","","","Cloudflare DNS, Microsoft Office 365, CloudFlare Hosting, Mobile Friendly, Bootstrap Framework, Google Font API, WordPress.org","","","","","","",63220b082937d000edf82c2b,"","صفحة متخصصة في نشر للعلم بدون مقابل
نرحب بكل المتطوعين","",https://zenprospect-production.s3.amazonaws.com/uploads/pictures/60542a48ac0a8b000151e3e3/picture
W3Schools.com,W3Schools.com,Cold,learning - estudo,130,e-learning,"",http://www.w3schools.com,http://www.linkedin.com/company/w3schools.com,https://www.facebook.com/w3schoolscom/,"","",Hommersåk,Rogaland,Norway,4310,"Hommersåk, Rogaland, Norway, 4310","education, edutech, edtech, web development, digital, coding, developer, learn to code, learning, web developer, tutorials, tech, upskilling, reskilling, html, css, javascript, python, data science, machine learning, sql, school, technology, code","","Well organized and easy to understand Web building tutorials with lots of examples of how to use HTML, CSS, JavaScript, SQL, Python, PHP, Bootstrap, Java, XML and more.","EdgeCast, Route 53, Amazon SES, Gmail, Google Apps, Zendesk, Amazon AWS, LiveRamp, Google translate API, Mobile Friendly, Google translate widget, AppNexus, Ruby On Rails, Google Custom Search, Phusion Passenger, DoubleClick, Facebook Login (Connect), Adform, DoubleVerify, Microsoft-IIS, Facebook Widget, ASP.NET, Nginx, Facebook Custom Audiences, Shopify, Google Tag Manager, greyscale - grey, Google Analytics, Amazon Associates","","","","",15205000,"",63220b082937d000edf82c30,"","📗 We create simplified and interactive learning experiences.

On a quest to make learning available for everyone - everywhere!

Visit our educational website and learn how to code for free. 💡

Content includes tutorials and references relating to HTML, CSS, JavaScript, JSON, PHP, Python, AngularJS, React.js, SQL, Bootstrap, Sass, Node.js, jQuery, XQuery, AJAX, XML, Active Server Pages, R, Raspberry Pi, C++, C# and Java.",1998,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6319b179ce125e00019a0d8a/picture
JobzEg,JobzEg,Cold,learning - estudo,0,e-learning,"",http://www.jobzeg.com,http://www.linkedin.com/company/jobzeg,https://www.facebook.com/Jobzeg,https://twitter.com/jobzeg,"",New Cairo City,Cairo Governorate,Egypt,"","New Cairo City, Cairo Governorate, Egypt","summer training jobs courses & udemy, contact us on","",اكبر موقع للوظائف في مصر - تجميع لكل الوظائف والكورسات في مصر والشرق الاوسط,"Google AdSense, Google Plus, Blogger, Facebook Login (Connect), Facebook Widget, Google Font API, Mobile Friendly","","","","","","",63220b082937d000edf82c34,"","",2020,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/62cfd2c04911a80001b5b443/picture
DataCamp,DataCamp,Cold,"Consumer Goods, Financial Services, learning - estudo",680,e-learning,wladimir.barros@paylivre.com,http://www.datacamp.com,http://www.linkedin.com/company/datacampinc,https://www.facebook.com/DataCamp-726282547396228/,https://twitter.com/DataCamp,350 5th Avenue,New York,New York,United States,10118,"350 5th Avenue, New York, New York, United States, 10118","education, analytics, data, information technology, data manipulation, deep learning, data science for everyone, sql, git, r courses, data science courses, python programming, tableau, scala, r programming, data engineering, digital learning, r training, conceptual learning, data science tutorials, power bi, machine learning, r tutorial, spreadsheets, excel, oracle, data visualization, data analytics, r, spark, data analysis courses, bigdata, digital education, python, data science tutorial, shell, data leadership, data theory, handson coding",'+1 857-498-4105,"","Route 53, Rackspace MailGun, Gmail, Google Apps, Microsoft Office 365, Zuora, Amazon AWS, CloudFlare Hosting, Segment.io, Stripe, Zendesk, CloudFlare, Datadog, Atlassian Cloud, React Redux",43000000,Series B,25000000,2018-12-17,12500000,"",627d6bb516ab570001aabced,8200,"Give your teams the 21st-century skills they need to work with data in the real world. DataCamp is the leading online platform designed to teach modern professionals the data skills they need at their own pace. From non-coding essentials to data science and machine learning, all taught by leading experts in the field. DataCamp Enterprise gives you the power to upskill everyone on your team to make better data-driven decisions—faster. Join more than 1,200 companies learning on DataCamp today.

We're hiring! Join the DataCamp team: datacamp.com/jobs",2014,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/62d08ca0af21490001b49109/picture
Codecademy,Codecademy,Cold,"Consumer Goods, Financial Services, learning - estudo",530,e-learning,wladimir.barros@paylivre.com,http://www.codecademy.com,http://www.linkedin.com/company/codecademy,http://www.facebook.com/codecademy,https://twitter.com/Codecademy,575 Broadway,New York,New York,United States,10012,"575 Broadway, New York, New York, United States, 10012","education, curated web, coding, code, software, programming",'+1 212-808-0616,Learn the technical skills to get the job you want. Join over 50 million people choosing Codecademy to start a new career (or advance in their current one).,"Cloudflare DNS, Gmail, Google Apps, Zendesk, CloudFlare Hosting, Segment.io, Backbone JS Library, Hubspot, Atlassian Cloud, OneTrust, React Redux, Varnish, iTunes, Google Font API, Ruby On Rails, Google Play, Shopify, Mobile Friendly, Google Tag Manager",82500000,Series D,40000000,2021-02-23,34200000,"",627d6bb516ab570001aabcf3,7372,Codecademy is a New York-based E-learning platform that offers programming language-based coding courses for students and employees.,2011,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63206a75afe3a2000138ca87/picture
Edmentum,Edmentum,Cold,"Consumer Goods, learning - estudo",1300,e-learning,wladimir.barros@paylivre.com,http://www.edmentum.com,http://www.linkedin.com/company/edmentum,https://www.facebook.com/Edmentum,https://twitter.com/edmentum,5600 W 83rd St,Bloomington,Minnesota,United States,55437-1000,"5600 W 83rd St, Bloomington, Minnesota, United States, 55437-1000","education technology solutions, curriculum & assessments provider, blended & personalized learning, online learning",'+1 800-447-5286,Edmentum is a leading provider of online learning programs designed to drive student achievement for academic and career success.,"Akamai, Salesforce, Route 53, DynECT, Sendgrid, Outlook, Marketo, Microsoft Office 365, Amazon AWS, Cloudflare DNS, CloudFlare Hosting, Taboola Newsroom, Drupal, StatusPage IO, Atlassian Cloud, Drift, Pantheon, React, New Relic, YouTube, Bootstrap Framework, F5 BIG-IP, Google Tag Manager, Optimizely, Shutterstock, Mobile Friendly, Wistia, Google Font API, SOASTA, Nginx, Vimeo, Varnish, AddThis, WordPress.org, Microsoft-IIS, Google Analytics, ASP.NET",25000000,Private Equity,"",2020-11-01,97500000,"",627d6bcd16c2830001190048,"8200, 8200","Edmentum is committed to making it easier for educators to individualize learning for every student through simple technology, high-quality content, actionable data, and customer success. Founded in innovation, Edmentum's powerful learning solutions blend technology with individual teaching approaches. We are dedicated to being educators'​ most trusted partner in creating successful student outcomes everywhere learning occurs. Our commitment is built off the emphasis we place on our core values: passion, people, respect, collaboration, and performance.",1960,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/631f115c208dbf00014336b7/picture
Online Learning Consortium,Online Learning Consortium,Cold,"Consumer Goods, learning - estudo",270,e-learning,wladimir.barros@paylivre.com,http://www.onlinelearningconsortium.org,http://www.linkedin.com/company/onlinelearningconsortium,http://www.facebook.com/OnlineLearningConsortium,http://www.twitter.com/OLCToday,6 Liberty Sq,Boston,Massachusetts,United States,02109,"6 Liberty Sq, Boston, Massachusetts, United States, 02109","online education, elearning, faculty development, higher education, edtech, professional development, digital education, instructional design",(617) 716-1414,"Online Learning Consortium (OLC) is the leading professional organization devoted to advancing quality online learning by providing professional development, instruction, best practice publications and guidance to educators, online learning professionals and organizations around the world.","ExactTarget, Gmail, Pardot, Google Apps, Salesforce, Amazon SES, Outlook, Sendgrid, Amazon AWS, Drupal, Salesforce Live Agent, Pantheon, Nginx, AddThis, Cvent, Desire2Learn / Brightspace, Google Custom Search, WordPress.org, Typekit, Mobile Friendly, Wistia, Google Analytics, Vimeo, Varnish, New Relic, Google Tag Manager",50000,Other,50000,2020-05-13,21913000,"",627d6bd6a12a700001f24582,8200,The Online Learning Consortium (OLC) is a collaborative community of leaders who are passionate about cultivating inclusive digital learning experiences.,1999,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/631277ed77ef3b00014045bd/picture
