,company_name,brazilian_visitors,hq_country,bounce_rate,visit_duration,male,female,18-24,25-34,35-44,45-54,55-64,65+
0,rustreaper.com,-1,- -,0.247,4.0,0.638,0.362,0.253,0.302,0.184,0.123,0.087,0.051
1,rustreaper.com,-1,- -,0.247,4.0,0.638,0.362,0.253,0.302,0.184,0.123,0.087,0.051
2,thunderpick.com,-1,Belize,0.268,9.0,0.666,0.334,0.282,0.311,0.174,0.113,0.075,0.045
3,hellcase.com,105760,- -,0.233,5.0,0.772,0.228,0.32,0.292,0.169,0.103,0.072,0.043
4,givedrop.ru,-1,- -,,,,,,,,,,
5,duelbits.com,146600,- -,0.554,6.0,0.64,0.36,0.304,0.297,0.17,0.112,0.073,0.044
6,csgolive.com,41304,- -,0.258,3.0,0.672,0.328,0.3,0.3,0.175,0.108,0.076,0.041
7,farmskins.com,32736,- -,0.234,6.0,0.715,0.285,0.295,0.315,0.172,0.104,0.069,0.044
8,skinswap.com,-1,- -,0.278,4.0,0.702,0.298,0.297,0.282,0.173,0.118,0.079,0.05
9,cs.deals,-1,- -,0.336,4.0,0.667,0.333,0.265,0.318,0.179,0.117,0.078,0.043
10,farmskins.com,32736,- -,0.234,6.0,0.715,0.285,0.295,0.315,0.172,0.104,0.069,0.044
11,skins.cash,-1,United Kingdom,0.327,3.0,0.723,0.277,0.331,0.322,0.155,0.093,0.062,0.036
12,dmarket.com,180180,United States,0.379,5.0,0.805,0.195,0.337,0.32,0.158,0.092,0.059,0.034
13,daddyskins.com,23683,- -,0.223,8.0,0.625,0.375,0.252,0.301,0.182,0.125,0.087,0.052
14,datdrop.com,-1,- -,0.202,9.0,0.696,0.304,0.265,0.304,0.179,0.121,0.082,0.049
15,skincashier.com,92865,Germany,0.415,2.0,0.671,0.329,0.316,0.304,0.169,0.103,0.068,0.04
16,swap.gg,-1,Guernsey,0.517,3.0,0.718,0.282,0.309,0.314,0.163,0.104,0.071,0.04
17,cs.money,159880,Belgium,0.482,4.0,0.819,0.181,0.354,0.323,0.153,0.085,0.055,0.03
18,bitskins.com,-1,Poland,0.331,7.0,0.755,0.245,0.313,0.309,0.169,0.102,0.068,0.039
19,bounty.gg,-1,- -,,,,,,,,,,
20,csgofast.com,16426,- -,0.143,8.0,0.641,0.359,0.268,0.304,0.18,0.118,0.083,0.047
21,howl.gg,-1,Guernsey,0.159,6.0,0.699,0.301,0.299,0.302,0.176,0.11,0.072,0.041
22,wtfskins.com,-1,- -,0.34,4.0,0.651,0.349,0.271,0.299,0.18,0.119,0.083,0.048
23,datdrop.com,-1,- -,0.202,9.0,0.696,0.304,0.265,0.304,0.179,0.121,0.082,0.049
24,loot.bet,39244,Cyprus,0.313,7.0,0.588,0.412,0.228,0.325,0.189,0.126,0.085,0.048
25,csgoexo.com,-1,- -,0.709,1.0,0.59,0.41,0.219,0.307,0.196,0.134,0.091,0.052
26,plg.bet,-1,- -,0.241,17.0,0.729,0.271,0.318,0.324,0.159,0.096,0.068,0.036
27,pvpro.com,-1,Cyprus,0.722,0.0,0.625,0.375,0.238,0.316,0.193,0.119,0.085,0.049
28,flamecases.com,-1,- -,0.492,13.0,0.665,0.335,0.225,0.348,0.204,0.108,0.07,0.045
29,caserandom.com,-1,- -,,,,,,,,,,
30,rustmoment.com,-1,- -,0.788,0.0,0.597,0.403,0.203,0.307,0.194,0.135,0.1,0.062
31,shadowpay.com,-1,- -,0.202,7.0,0.699,0.301,0.278,0.304,0.18,0.112,0.08,0.046
32,rustclash.com,-1,- -,0.234,12.0,0.689,0.311,0.299,0.297,0.171,0.11,0.075,0.048
33,rollbit.com,-1,- -,0.159,12.0,0.666,0.334,0.251,0.307,0.184,0.124,0.083,0.05
34,rustytrade.com,-1,- -,0.673,3.0,0.602,0.398,0.198,0.305,0.196,0.144,0.099,0.057
35,skinport.com,-1,Germany,0.24,7.0,0.795,0.205,0.325,0.302,0.167,0.102,0.065,0.039
36,knifex.com,-1,- -,0.211,4.0,0.578,0.422,0.22,0.336,0.189,0.124,0.087,0.045
37,tradeit.gg,-1,United Kingdom,0.421,5.0,0.735,0.266,0.316,0.317,0.165,0.099,0.066,0.037
38,rustbet.com,-1,- -,0.324,9.0,0.646,0.354,0.229,0.295,0.193,0.134,0.093,0.056
39,helltv.store,23796,- -,0.529,0.0,0.619,0.381,0.23,0.317,0.19,0.124,0.084,0.054
40,csgoempire.com,-1,- -,0.138,8.0,0.732,0.268,0.299,0.302,0.171,0.11,0.073,0.044
41,ruststake.com,-1,- -,0.32,6.0,0.645,0.355,0.239,0.297,0.194,0.128,0.087,0.055
42,cs.trade,-1,- -,0.276,4.0,0.675,0.325,0.27,0.311,0.179,0.115,0.08,0.045
43,waxpeer.com,-1,- -,0.211,12.0,0.656,0.344,0.254,0.317,0.183,0.119,0.082,0.046
44,rustchance.com,-1,- -,0.239,8.0,0.641,0.359,0.235,0.302,0.19,0.133,0.09,0.05
45,rustysaloon.com,-1,- -,0.195,4.0,0.627,0.373,0.279,0.295,0.179,0.115,0.082,0.051
46,gamdom.com,-1,- -,0.263,8.0,0.689,0.311,0.267,0.311,0.179,0.118,0.078,0.048
47,skinsmonkey.com,42189,- -,0.537,2.0,0.708,0.292,0.289,0.298,0.177,0.113,0.077,0.046
48,ezy.com,-1,- -,,,,,,,,,,
49,sellyourskins.com,-1,- -,0.453,4.0,0.618,0.382,0.249,0.309,0.177,0.125,0.087,0.053
50,hellstore.org,-1,- -,0.364,4.0,0.797,0.203,0.329,0.384,0.136,0.078,0.049,0.024
51,lootbear.com,-1,Israel,0.368,3.0,0.678,0.322,0.266,0.288,0.184,0.124,0.084,0.053
52,casedrop.com,-1,- -,0.341,2.0,0.628,0.372,0.254,0.317,0.183,0.117,0.083,0.046
53,key-drop.com,473760,- -,0.239,5.0,0.775,0.225,0.43,0.251,0.139,0.081,0.063,0.036
54,csgoroll.com,-1,Cyprus,0.108,9.0,0.748,0.252,0.299,0.301,0.171,0.112,0.074,0.043
55,csgo500.com,-1,- -,0.244,15.0,0.652,0.347,0.233,0.313,0.192,0.13,0.086,0.047
56,csgopositive.com,-1,- -,0.221,22.0,0.612,0.388,0.209,0.307,0.19,0.135,0.097,0.061
57,csgopositive.com,-1,- -,0.221,22.0,0.612,0.388,0.209,0.307,0.19,0.135,0.097,0.061
