,company_name,description,href,full_complain
0,steam,Minha conta foi [Editado pelo Reclame Aqui] e não consigo falar com o suporte pra resolver meu problema ,minha-conta-foi-editado-pelo-reclame-aqui-e-nao-consigo-falar-com-o-suporte-pra-resolver-meu-problema_ctUd02eIGaOkWG3D,Minha conta foi [Editado pelo Reclame Aqui] e não consigo falar com o suporte pra resolver meu problema 
1,steam,Comprei o game na steam e não estou conseguindo o reembolso do mesmo. Infelizmente a minha experiência com o game foi horrível. O ,nao-consigo-reembolso-do-jogo-new-world_7817Gmj2GpJodLWH,"Comprei o game na steam e não estou conseguindo o reembolso do mesmo. Infelizmente a minha experiência com o game foi horrível. O servidor possui uma fila muito longa quando eu preciso entrar e logo após entrar no game, a qualidade da latência do servido é péssima. E além do servidor, o jogo possui inúmeros bugs que atrapalham muito na experiência do player, sem falar que é um jogo com pvp competitivo, algo que exige um game muito fluido. Infelizmente não estou conseguindo o reembolso e a steam não me dá nenhuma satisfação. Meu perfil marca 5h jogadas, mas quase metade desse tempo de jogo foi enfrentando filas ou erros na hora de entrar no servidor. Meu perfil na steam é o https://steamcommunity.com/id/gugaking/"
2,steam,"Alguém sem querer me denunciou na steam. Quando eu tentei falar com o suporte steam sobre isso, suspenderam minha conta e me infor",estao-pedindo-para-pagar-50-de-todos-meus-gastos-previos_vIrmt8jQcypz_Uhg,"Alguém sem querer me denunciou na steam. Quando eu tentei falar com o suporte steam sobre isso, suspenderam minha conta e me informaram que eu deveria pagar 50% de tudo que eu já comprei na steam para provar que a conta era realmente minha (cerca de 296 dólares) e que se eu não pagasse eles iriam banir permanentemente minha conta. Deixei abaixo o nome no discord da funcionaria que me atendeu via discord Jenni Salmi#9856Steam Support & Valve Employee"
3,steam,"Fui hackeado e mudaram os dados da minha conta, não consigo fazer a alteração da senha e vou perder todo o dinheiro que gastei por",fui-hackeado__FQNun4Br8mlCVxP,"Fui hackeado e mudaram os dados da minha conta, não consigo fazer a alteração da senha e vou perder todo o dinheiro que gastei por anos (desde 2013) com o serviço de vocês. Eu tinha Steam Guard e verificação por mensagem de texto e ainda sim fui hackeado."
4,steam,"ja tentei de todas as maneiras provar que não sou um robo, sempre fica na aba do captcha, quero criar minha conta pra comprar o gt",nao-consigo-sair-do-captcha_DDjhVGqApqikfuFo,"ja tentei de todas as maneiras provar que não sou um robo, sempre fica na aba do captcha, quero criar minha conta pra comprar o gta v, mas não consigo criar a conta por conta desse captcha infinito"
5,steam,"a um ano atras perdi a capacidade de entrar em minha conta, mudaram o email e a senha e nao consigo nem entrar em contato com a st",perdi-o-login-de-minha-conta-e-tenho-certeza-de-que-foi-editado-pelo-reclame-aqui_itadojc1rnKpKTtl,"a um ano atras perdi a capacidade de entrar em minha conta, mudaram o email e a senha e nao consigo nem entrar em contato com a steam para poder recuperar a conta, tenho todos os codigos de ativações que foram usadas para redimir os jogas na minha conta, eu só quero minha conta de volta."
6,steam,"comprei o jogo famoso, Counter-Strike Global Offensive, mas infelizmente so estou tendo perca e danos. pois o dinheiro que gastei ",falta-de-administracao_Q2uCUB5p36dDW1-G,"comprei o jogo famoso, Counter-Strike Global Offensive, mas infelizmente so estou tendo perca e danos. pois o dinheiro que gastei só esta servido para pega pessoas que usam [Editado pelo Reclame Aqui], eles tem um tal de sistema TRUST FACTOR que faz com que a conta fique com integridade baixa.. ao invés de toma providencia sobre os [Editado pelo Reclame Aqui]s, e ainda diz que não faz o reembolso do jogo.. e diz que não tem responsabilidade do que acontece no jogo.. quero que tirem essa porcaria de TRUST FACTOR da minha conta ou devolva todo dinheiro que foi gasto"
7,steam,"STRA VALVE, EU QUE NÃO UTILIZO NEM NUNCA UTILIZEI NENHUM TIPO DE CHEAT A CADA 3 PARTIDAS SOU DESCONECTADO PELO VAC. ISSO SE NÃO FO",csgo-vac_mJVF6qIBvfufDDKK,"STRA VALVE, EU QUE NÃO UTILIZO NEM NUNCA UTILIZEI NENHUM TIPO DE CHEAT A CADA 3 PARTIDAS SOU DESCONECTADO PELO VAC. ISSO SE NÃO FOR NA SEGUNDA! AGORA VEJO VARIOS PLAYERS UTILIZANDO TRAPASSAS E JOGANDO TRANQUILAMENTE. A FINAL QUAIS SÃO OS CRITÉRIOS UTILIZADOS!? EU NÃO VOU ASSINAR O PRIME JUSTAMENTE DEVIDO A ESSE PROBLEMA POIS NÃO VOU PAGAR POR UM SERVIÇO INSTAVEL! CANSEI JA DE TENTAR COMUNICAR OU FAZER TODAS ALTERNATIVAS, COMO ATUALIZAR ANTI VIRUS, REISNTALAR O CS, VERIFICAR A INTEGRIDADE DOS ARQUIVOS, COLOCAR A PASTA DE INSTALAÇÃO EM UM SSD. ENFIM UMA EMPRESA DESSE PORTE EU ESPERAVA MAIS."
8,steam,Boa tarde Estou a dias tentando acessar minha conta na Steam sem sucessoPois informações vinculadas a conta já são ant,problemas-com-acesso-a-conta_1YyfctzPkBIY5ERW,Boa tarde Estou a dias tentando acessar minha conta na Steam sem sucessoPois informações vinculadas a conta já são antigas como o número de celular.Já mandei e-mails para o suporte deles e nada sem resposta alguma e estou sem acesso a minha conta Preciso de uma resposta pois preciso acessar minha conta Preciso de informações para alterar os dados cadastrais antigos para atualizar e conseguir entrar novamente Segue as fotos dos e-mails que recebi tentando acessar sem sucesso 
9,steam,"invadiram minha conta na steam e mudaram a senha a o email da conta, eu entrei em contato com a steam mas ate agr nada de resolver",fui-invadido-perdi-minha-conta-mas-nao-resolvem_mOyBEp5UuHUP5CCV,"invadiram minha conta na steam e mudaram a senha a o email da conta, eu entrei em contato com a steam mas ate agr nada de resolver isso to a dias sem acesso a minha conta a ultima vez que ele foi logando falaram que foi logada da venezuela a ft do perfil tinha minha ft eu lembro dos jogos que foram comprados quando foi comprado os gifts cards mas nao tenho acesso ao codigo dos mesmos pra ue perdi os cartções e por conta disso a steam nao quer me devolver minha conta sendo que eu coloquei dinheiro nela tem jogo comprados mds que coisa humilhante nao tem nem um reconhecimento facial ou coisa do tipo pra ver que realmente a conta é minha que absurdo isso to sem acesso a minha conta respondo mas pra reponderem de volta demora em trono de dois dias eu to a varios dias sem acesso a minha conta "
